"dz_2001","total","llti","no_llti"
"S01000001",765,111,654
"S01000002",687,38,649
"S01000003",838,60,778
"S01000004",641,45,596
"S01000005",663,70,593
"S01000006",626,144,482
"S01000007",735,156,579
"S01000008",584,112,472
"S01000009",710,105,605
"S01000010",568,51,517
"S01000011",918,153,765
"S01000012",816,89,727
"S01000013",898,130,768
"S01000014",919,106,813
"S01000015",655,41,614
"S01000016",564,96,468
"S01000017",937,122,815
"S01000018",577,76,501
"S01000019",531,55,476
"S01000020",877,255,622
"S01000021",862,164,698
"S01000022",663,60,603
"S01000023",805,56,749
"S01000024",512,61,451
"S01000025",874,85,789
"S01000026",930,228,702
"S01000027",815,90,725
"S01000028",969,218,751
"S01000029",742,21,721
"S01000030",500,111,389
"S01000031",866,127,739
"S01000032",1089,251,838
"S01000033",796,215,581
"S01000034",1012,163,849
"S01000035",1009,189,820
"S01000036",744,179,565
"S01000037",800,200,600
"S01000038",684,128,556
"S01000039",942,211,731
"S01000040",970,210,760
"S01000041",838,188,650
"S01000042",790,144,646
"S01000043",837,195,642
"S01000044",951,274,677
"S01000045",581,84,497
"S01000046",768,100,668
"S01000047",759,226,533
"S01000048",925,106,819
"S01000049",764,141,623
"S01000050",618,114,504
"S01000051",788,153,635
"S01000052",677,173,504
"S01000053",1014,219,795
"S01000054",777,179,598
"S01000055",754,178,576
"S01000056",1049,109,940
"S01000057",700,155,545
"S01000058",710,84,626
"S01000059",806,103,703
"S01000060",577,114,463
"S01000061",963,142,821
"S01000062",991,83,908
"S01000063",983,125,858
"S01000064",648,135,513
"S01000065",953,120,833
"S01000066",800,154,646
"S01000067",897,140,757
"S01000068",862,145,717
"S01000069",684,174,510
"S01000070",646,120,526
"S01000071",740,185,555
"S01000072",832,187,645
"S01000073",619,88,531
"S01000074",763,168,595
"S01000075",547,85,462
"S01000076",770,97,673
"S01000077",917,105,812
"S01000078",817,135,682
"S01000079",952,131,821
"S01000080",927,96,831
"S01000081",924,134,790
"S01000082",954,260,694
"S01000083",757,88,669
"S01000084",674,130,544
"S01000085",555,73,482
"S01000086",745,112,633
"S01000087",820,110,710
"S01000088",639,57,582
"S01000089",1003,157,846
"S01000090",800,68,732
"S01000091",929,136,793
"S01000092",851,70,781
"S01000093",404,23,381
"S01000094",575,45,530
"S01000095",703,69,634
"S01000096",706,200,506
"S01000097",967,112,855
"S01000098",1022,172,850
"S01000099",762,100,662
"S01000100",760,83,677
"S01000101",885,91,794
"S01000102",747,165,582
"S01000103",603,52,551
"S01000104",863,141,722
"S01000105",885,86,799
"S01000106",706,50,656
"S01000107",889,94,795
"S01000108",606,150,456
"S01000109",895,170,725
"S01000110",820,221,599
"S01000111",762,83,679
"S01000112",970,203,767
"S01000113",545,60,485
"S01000114",876,327,549
"S01000115",873,228,645
"S01000116",901,81,820
"S01000117",1056,188,868
"S01000118",704,158,546
"S01000119",786,161,625
"S01000120",574,67,507
"S01000121",796,164,632
"S01000122",764,162,602
"S01000123",648,79,569
"S01000124",985,143,842
"S01000125",701,160,541
"S01000126",867,243,624
"S01000127",798,78,720
"S01000128",1538,182,1356
"S01000129",549,21,528
"S01000130",865,177,688
"S01000131",659,74,585
"S01000132",784,85,699
"S01000133",737,142,595
"S01000134",762,164,598
"S01000135",721,207,514
"S01000136",706,154,552
"S01000137",786,104,682
"S01000138",822,127,695
"S01000139",817,219,598
"S01000140",943,204,739
"S01000141",945,148,797
"S01000142",772,167,605
"S01000143",633,60,573
"S01000144",547,50,497
"S01000145",905,282,623
"S01000146",963,187,776
"S01000147",735,177,558
"S01000148",694,172,522
"S01000149",1011,174,837
"S01000150",636,125,511
"S01000151",907,288,619
"S01000152",1083,341,742
"S01000153",529,90,439
"S01000154",557,146,411
"S01000155",784,178,606
"S01000156",970,134,836
"S01000157",692,270,422
"S01000158",933,205,728
"S01000159",1014,103,911
"S01000160",813,177,636
"S01000161",959,103,856
"S01000162",886,172,714
"S01000163",1022,224,798
"S01000164",471,181,290
"S01000165",861,254,607
"S01000166",1147,141,1006
"S01000167",712,197,515
"S01000168",956,208,748
"S01000169",761,193,568
"S01000170",1035,143,892
"S01000171",892,45,847
"S01000172",501,66,435
"S01000173",811,194,617
"S01000174",873,50,823
"S01000175",528,66,462
"S01000176",744,84,660
"S01000177",554,57,497
"S01000178",760,172,588
"S01000179",757,265,492
"S01000180",693,156,537
"S01000181",654,115,539
"S01000182",873,215,658
"S01000183",1000,183,817
"S01000184",793,149,644
"S01000185",787,240,547
"S01000186",957,282,675
"S01000187",713,144,569
"S01000188",1079,281,798
"S01000189",624,117,507
"S01000190",887,197,690
"S01000191",1057,182,875
"S01000192",767,158,609
"S01000193",802,178,624
"S01000194",745,118,627
"S01000195",697,171,526
"S01000196",924,147,777
"S01000197",610,134,476
"S01000198",746,201,545
"S01000199",716,192,524
"S01000200",846,221,625
"S01000201",654,182,472
"S01000202",888,164,724
"S01000203",453,86,367
"S01000204",622,138,484
"S01000205",960,124,836
"S01000206",714,125,589
"S01000207",883,236,647
"S01000208",857,269,588
"S01000209",987,184,803
"S01000210",578,150,428
"S01000211",713,204,509
"S01000212",788,158,630
"S01000213",672,196,476
"S01000214",507,108,399
"S01000215",736,111,625
"S01000216",619,125,494
"S01000217",698,154,544
"S01000218",718,187,531
"S01000219",698,164,534
"S01000220",1399,165,1234
"S01000221",897,311,586
"S01000222",758,161,597
"S01000223",525,64,461
"S01000224",768,196,572
"S01000225",595,97,498
"S01000226",618,89,529
"S01000227",646,57,589
"S01000228",660,76,584
"S01000229",795,185,610
"S01000230",678,121,557
"S01000231",710,49,661
"S01000232",669,161,508
"S01000233",567,155,412
"S01000234",762,102,660
"S01000235",888,153,735
"S01000236",680,109,571
"S01000237",916,139,777
"S01000238",516,38,478
"S01000239",733,105,628
"S01000240",721,96,625
"S01000241",746,46,700
"S01000242",690,81,609
"S01000243",739,63,676
"S01000244",1045,211,834
"S01000245",953,132,821
"S01000246",750,96,654
"S01000247",767,65,702
"S01000248",868,94,774
"S01000249",738,108,630
"S01000250",805,66,739
"S01000251",501,36,465
"S01000252",867,50,817
"S01000253",745,27,718
"S01000254",808,68,740
"S01000255",632,35,597
"S01000256",919,206,713
"S01000257",826,116,710
"S01000258",666,41,625
"S01000259",614,43,571
"S01000260",890,31,859
"S01000261",1007,118,889
"S01000262",946,163,783
"S01000263",794,65,729
"S01000264",1033,185,848
"S01000265",778,160,618
"S01000266",984,134,850
"S01000267",691,135,556
"S01000268",779,140,639
"S01000269",561,61,500
"S01000270",964,142,822
"S01000271",906,150,756
"S01000272",940,122,818
"S01000273",524,63,461
"S01000274",594,109,485
"S01000275",982,156,826
"S01000276",740,65,675
"S01000277",674,100,574
"S01000278",537,120,417
"S01000279",613,118,495
"S01000280",620,66,554
"S01000281",679,104,575
"S01000282",663,78,585
"S01000283",881,90,791
"S01000284",819,68,751
"S01000285",672,64,608
"S01000286",880,149,731
"S01000287",724,104,620
"S01000288",897,83,814
"S01000289",849,141,708
"S01000290",775,114,661
"S01000291",831,122,709
"S01000292",980,155,825
"S01000293",765,214,551
"S01000294",699,67,632
"S01000295",607,66,541
"S01000296",532,77,455
"S01000297",736,87,649
"S01000298",528,47,481
"S01000299",953,161,792
"S01000300",774,67,707
"S01000301",579,90,489
"S01000302",566,68,498
"S01000303",485,65,420
"S01000304",791,53,738
"S01000305",1040,139,901
"S01000306",746,61,685
"S01000307",991,66,925
"S01000308",991,108,883
"S01000309",646,82,564
"S01000310",899,73,826
"S01000311",947,144,803
"S01000312",646,133,513
"S01000313",709,110,599
"S01000314",572,69,503
"S01000315",661,107,554
"S01000316",800,181,619
"S01000317",551,117,434
"S01000318",577,60,517
"S01000319",723,81,642
"S01000320",722,77,645
"S01000321",581,57,524
"S01000322",1083,79,1004
"S01000323",888,132,756
"S01000324",870,77,793
"S01000325",618,108,510
"S01000326",763,129,634
"S01000327",898,91,807
"S01000328",601,68,533
"S01000329",546,60,486
"S01000330",733,95,638
"S01000331",621,114,507
"S01000332",687,101,586
"S01000333",841,75,766
"S01000334",823,194,629
"S01000335",652,103,549
"S01000336",852,118,734
"S01000337",690,86,604
"S01000338",508,94,414
"S01000339",1094,138,956
"S01000340",971,125,846
"S01000341",748,127,621
"S01000342",387,90,297
"S01000343",644,86,558
"S01000344",894,125,769
"S01000345",646,84,562
"S01000346",683,72,611
"S01000347",478,65,413
"S01000348",816,70,746
"S01000349",592,74,518
"S01000350",1002,78,924
"S01000351",1023,80,943
"S01000352",798,70,728
"S01000353",663,51,612
"S01000354",648,138,510
"S01000355",707,41,666
"S01000356",611,56,555
"S01000357",682,38,644
"S01000358",1030,88,942
"S01000359",856,37,819
"S01000360",514,79,435
"S01000361",614,76,538
"S01000362",920,96,824
"S01000363",960,87,873
"S01000364",900,120,780
"S01000365",677,81,596
"S01000366",761,85,676
"S01000367",753,99,654
"S01000368",797,110,687
"S01000369",975,116,859
"S01000370",796,78,718
"S01000371",931,173,758
"S01000372",983,174,809
"S01000373",588,55,533
"S01000374",611,84,527
"S01000375",646,112,534
"S01000376",899,140,759
"S01000377",721,79,642
"S01000378",581,68,513
"S01000379",574,55,519
"S01000380",748,56,692
"S01000381",884,134,750
"S01000382",755,90,665
"S01000383",655,94,561
"S01000384",731,135,596
"S01000385",574,72,502
"S01000386",766,102,664
"S01000387",853,93,760
"S01000388",775,84,691
"S01000389",667,36,631
"S01000390",727,155,572
"S01000391",636,125,511
"S01000392",723,66,657
"S01000393",857,190,667
"S01000394",688,83,605
"S01000395",588,71,517
"S01000396",940,255,685
"S01000397",1024,158,866
"S01000398",749,78,671
"S01000399",577,98,479
"S01000400",705,127,578
"S01000401",824,101,723
"S01000402",709,83,626
"S01000403",797,111,686
"S01000404",756,88,668
"S01000405",474,42,432
"S01000406",629,90,539
"S01000407",658,107,551
"S01000408",513,41,472
"S01000409",666,54,612
"S01000410",664,56,608
"S01000411",631,71,560
"S01000412",787,77,710
"S01000413",786,94,692
"S01000414",721,60,661
"S01000415",615,110,505
"S01000416",670,78,592
"S01000417",1005,123,882
"S01000418",723,88,635
"S01000419",672,54,618
"S01000420",998,168,830
"S01000421",601,57,544
"S01000422",725,156,569
"S01000423",904,71,833
"S01000424",727,93,634
"S01000425",695,93,602
"S01000426",797,70,727
"S01000427",785,73,712
"S01000428",777,80,697
"S01000429",782,124,658
"S01000430",570,70,500
"S01000431",693,177,516
"S01000432",973,151,822
"S01000433",468,67,401
"S01000434",680,93,587
"S01000435",555,84,471
"S01000436",695,45,650
"S01000437",1024,174,850
"S01000438",698,49,649
"S01000439",700,62,638
"S01000440",868,128,740
"S01000441",871,171,700
"S01000442",808,85,723
"S01000443",581,59,522
"S01000444",573,51,522
"S01000445",971,137,834
"S01000446",946,142,804
"S01000447",539,64,475
"S01000448",622,83,539
"S01000449",784,157,627
"S01000450",645,80,565
"S01000451",790,105,685
"S01000452",561,65,496
"S01000453",547,76,471
"S01000454",493,104,389
"S01000455",870,129,741
"S01000456",718,102,616
"S01000457",872,206,666
"S01000458",853,84,769
"S01000459",1037,172,865
"S01000460",769,142,627
"S01000461",863,187,676
"S01000462",1035,217,818
"S01000463",816,107,709
"S01000464",741,99,642
"S01000465",629,88,541
"S01000466",799,83,716
"S01000467",626,150,476
"S01000468",520,54,466
"S01000469",689,61,628
"S01000470",1263,226,1037
"S01000471",603,77,526
"S01000472",836,100,736
"S01000473",745,115,630
"S01000474",648,75,573
"S01000475",887,138,749
"S01000476",581,102,479
"S01000477",777,125,652
"S01000478",869,213,656
"S01000479",967,215,752
"S01000480",665,101,564
"S01000481",784,108,676
"S01000482",837,245,592
"S01000483",920,229,691
"S01000484",806,129,677
"S01000485",1080,95,985
"S01000486",798,211,587
"S01000487",590,171,419
"S01000488",703,185,518
"S01000489",904,293,611
"S01000490",541,45,496
"S01000491",593,131,462
"S01000492",954,157,797
"S01000493",588,102,486
"S01000494",566,108,458
"S01000495",935,159,776
"S01000496",587,49,538
"S01000497",630,120,510
"S01000498",548,89,459
"S01000499",803,95,708
"S01000500",675,98,577
"S01000501",621,131,490
"S01000502",540,92,448
"S01000503",533,124,409
"S01000504",708,143,565
"S01000505",757,114,643
"S01000506",654,114,540
"S01000507",1087,205,882
"S01000508",877,130,747
"S01000509",1058,203,855
"S01000510",658,102,556
"S01000511",556,80,476
"S01000512",892,115,777
"S01000513",862,169,693
"S01000514",516,63,453
"S01000515",484,61,423
"S01000516",654,106,548
"S01000517",651,113,538
"S01000518",879,169,710
"S01000519",476,65,411
"S01000520",1010,176,834
"S01000521",927,210,717
"S01000522",612,121,491
"S01000523",793,150,643
"S01000524",647,112,535
"S01000525",987,222,765
"S01000526",966,176,790
"S01000527",587,87,500
"S01000528",843,223,620
"S01000529",723,131,592
"S01000530",477,70,407
"S01000531",523,114,409
"S01000532",809,221,588
"S01000533",760,164,596
"S01000534",813,155,658
"S01000535",985,170,815
"S01000536",519,90,429
"S01000537",559,104,455
"S01000538",789,166,623
"S01000539",1028,243,785
"S01000540",784,150,634
"S01000541",552,126,426
"S01000542",672,155,517
"S01000543",814,138,676
"S01000544",733,131,602
"S01000545",717,124,593
"S01000546",609,120,489
"S01000547",544,118,426
"S01000548",1012,255,757
"S01000549",1136,162,974
"S01000550",557,55,502
"S01000551",830,207,623
"S01000552",554,60,494
"S01000553",867,125,742
"S01000554",791,138,653
"S01000555",904,222,682
"S01000556",880,154,726
"S01000557",880,184,696
"S01000558",564,151,413
"S01000559",707,201,506
"S01000560",1044,225,819
"S01000561",1034,269,765
"S01000562",909,222,687
"S01000563",640,165,475
"S01000564",860,207,653
"S01000565",709,135,574
"S01000566",759,162,597
"S01000567",769,182,587
"S01000568",542,106,436
"S01000569",742,114,628
"S01000570",939,185,754
"S01000571",780,240,540
"S01000572",800,114,686
"S01000573",600,47,553
"S01000574",814,183,631
"S01000575",608,123,485
"S01000576",654,102,552
"S01000577",595,107,488
"S01000578",706,125,581
"S01000579",807,199,608
"S01000580",681,69,612
"S01000581",707,103,604
"S01000582",728,80,648
"S01000583",758,98,660
"S01000584",781,175,606
"S01000585",945,210,735
"S01000586",775,105,670
"S01000587",702,155,547
"S01000588",627,117,510
"S01000589",645,116,529
"S01000590",773,133,640
"S01000591",496,87,409
"S01000592",924,162,762
"S01000593",571,80,491
"S01000594",655,141,514
"S01000595",839,139,700
"S01000596",945,108,837
"S01000597",1065,148,917
"S01000598",519,74,445
"S01000599",775,140,635
"S01000600",742,117,625
"S01000601",1072,244,828
"S01000602",679,114,565
"S01000603",822,110,712
"S01000604",1000,153,847
"S01000605",871,188,683
"S01000606",820,227,593
"S01000607",784,160,624
"S01000608",972,218,754
"S01000609",1009,234,775
"S01000610",773,228,545
"S01000611",624,140,484
"S01000612",995,210,785
"S01000613",1004,188,816
"S01000614",722,149,573
"S01000615",764,279,485
"S01000616",1220,153,1067
"S01000617",634,102,532
"S01000618",827,184,643
"S01000619",714,110,604
"S01000620",819,196,623
"S01000621",1009,222,787
"S01000622",547,95,452
"S01000623",780,147,633
"S01000624",604,127,477
"S01000625",629,132,497
"S01000626",822,154,668
"S01000627",931,174,757
"S01000628",559,126,433
"S01000629",662,114,548
"S01000630",732,123,609
"S01000631",637,129,508
"S01000632",589,88,501
"S01000633",632,75,557
"S01000634",822,144,678
"S01000635",678,99,579
"S01000636",501,66,435
"S01000637",595,87,508
"S01000638",503,97,406
"S01000639",606,97,509
"S01000640",635,99,536
"S01000641",785,129,656
"S01000642",807,144,663
"S01000643",609,98,511
"S01000644",680,115,565
"S01000645",898,178,720
"S01000646",826,103,723
"S01000647",877,145,732
"S01000648",910,165,745
"S01000649",582,94,488
"S01000650",737,137,600
"S01000651",806,148,658
"S01000652",812,174,638
"S01000653",909,201,708
"S01000654",943,176,767
"S01000655",797,163,634
"S01000656",678,133,545
"S01000657",760,210,550
"S01000658",578,113,465
"S01000659",1066,203,863
"S01000660",974,212,762
"S01000661",765,158,607
"S01000662",530,69,461
"S01000663",702,123,579
"S01000664",774,136,638
"S01000665",675,132,543
"S01000666",493,75,418
"S01000667",981,189,792
"S01000668",909,177,732
"S01000669",785,199,586
"S01000670",566,104,462
"S01000671",622,146,476
"S01000672",628,95,533
"S01000673",750,112,638
"S01000674",984,143,841
"S01000675",722,85,637
"S01000676",501,114,387
"S01000677",822,188,634
"S01000678",942,149,793
"S01000679",750,143,607
"S01000680",778,151,627
"S01000681",802,165,637
"S01000682",644,178,466
"S01000683",525,82,443
"S01000684",687,201,486
"S01000685",843,169,674
"S01000686",703,127,576
"S01000687",789,136,653
"S01000688",792,167,625
"S01000689",611,100,511
"S01000690",787,117,670
"S01000691",772,143,629
"S01000692",753,136,617
"S01000693",872,188,684
"S01000694",724,132,592
"S01000695",745,122,623
"S01000696",731,161,570
"S01000697",492,89,403
"S01000698",642,104,538
"S01000699",658,149,509
"S01000700",879,113,766
"S01000701",920,182,738
"S01000702",522,88,434
"S01000703",741,136,605
"S01000704",880,133,747
"S01000705",1146,206,940
"S01000706",823,108,715
"S01000707",537,70,467
"S01000708",562,75,487
"S01000709",888,207,681
"S01000710",1083,160,923
"S01000711",620,109,511
"S01000712",595,115,480
"S01000713",832,168,664
"S01000714",832,128,704
"S01000715",671,204,467
"S01000716",541,135,406
"S01000717",870,207,663
"S01000718",952,200,752
"S01000719",660,144,516
"S01000720",858,172,686
"S01000721",658,122,536
"S01000722",819,168,651
"S01000723",527,98,429
"S01000724",862,205,657
"S01000725",633,135,498
"S01000726",687,171,516
"S01000727",706,188,518
"S01000728",768,164,604
"S01000729",542,122,420
"S01000730",407,67,340
"S01000731",547,173,374
"S01000732",536,173,363
"S01000733",732,228,504
"S01000734",851,189,662
"S01000735",445,120,325
"S01000736",720,187,533
"S01000737",511,146,365
"S01000738",579,123,456
"S01000739",759,126,633
"S01000740",673,165,508
"S01000741",806,191,615
"S01000742",541,140,401
"S01000743",726,217,509
"S01000744",733,160,573
"S01000745",681,124,557
"S01000746",738,168,570
"S01000747",568,153,415
"S01000748",514,219,295
"S01000749",559,164,395
"S01000750",694,172,522
"S01000751",713,123,590
"S01000752",992,291,701
"S01000753",646,132,514
"S01000754",650,169,481
"S01000755",730,121,609
"S01000756",1104,293,811
"S01000757",694,199,495
"S01000758",992,147,845
"S01000759",861,226,635
"S01000760",565,98,467
"S01000761",492,120,372
"S01000762",670,97,573
"S01000763",861,136,725
"S01000764",707,105,602
"S01000765",671,48,623
"S01000766",758,192,566
"S01000767",596,142,454
"S01000768",826,176,650
"S01000769",956,204,752
"S01000770",595,127,468
"S01000771",983,168,815
"S01000772",652,141,511
"S01000773",962,218,744
"S01000774",598,45,553
"S01000775",704,182,522
"S01000776",620,47,573
"S01000777",555,49,506
"S01000778",464,67,397
"S01000779",793,95,698
"S01000780",931,187,744
"S01000781",877,128,749
"S01000782",712,76,636
"S01000783",506,78,428
"S01000784",871,137,734
"S01000785",734,188,546
"S01000786",784,157,627
"S01000787",526,112,414
"S01000788",705,114,591
"S01000789",653,142,511
"S01000790",514,92,422
"S01000791",630,117,513
"S01000792",690,106,584
"S01000793",812,203,609
"S01000794",842,189,653
"S01000795",771,138,633
"S01000796",485,90,395
"S01000797",476,83,393
"S01000798",535,121,414
"S01000799",2813,135,2678
"S01000800",1004,267,737
"S01000801",639,106,533
"S01000802",754,154,600
"S01000803",875,143,732
"S01000804",985,158,827
"S01000805",822,193,629
"S01000806",838,152,686
"S01000807",769,132,637
"S01000808",725,134,591
"S01000809",553,93,460
"S01000810",630,98,532
"S01000811",834,89,745
"S01000812",662,203,459
"S01000813",758,83,675
"S01000814",919,116,803
"S01000815",544,146,398
"S01000816",584,111,473
"S01000817",918,166,752
"S01000818",696,89,607
"S01000819",812,154,658
"S01000820",573,110,463
"S01000821",883,167,716
"S01000822",554,87,467
"S01000823",591,79,512
"S01000824",554,114,440
"S01000825",698,115,583
"S01000826",730,177,553
"S01000827",703,143,560
"S01000828",879,161,718
"S01000829",577,126,451
"S01000830",715,148,567
"S01000831",882,175,707
"S01000832",926,157,769
"S01000833",572,108,464
"S01000834",911,259,652
"S01000835",702,177,525
"S01000836",847,197,650
"S01000837",763,208,555
"S01000838",723,125,598
"S01000839",963,180,783
"S01000840",773,191,582
"S01000841",970,227,743
"S01000842",834,160,674
"S01000843",773,167,606
"S01000844",689,149,540
"S01000845",573,120,453
"S01000846",739,198,541
"S01000847",995,287,708
"S01000848",699,152,547
"S01000849",539,122,417
"S01000850",657,214,443
"S01000851",686,78,608
"S01000852",717,220,497
"S01000853",553,160,393
"S01000854",933,228,705
"S01000855",778,188,590
"S01000856",626,191,435
"S01000857",614,122,492
"S01000858",717,78,639
"S01000859",837,156,681
"S01000860",873,225,648
"S01000861",656,149,507
"S01000862",559,94,465
"S01000863",485,112,373
"S01000864",668,146,522
"S01000865",692,179,513
"S01000866",944,276,668
"S01000867",739,241,498
"S01000868",718,211,507
"S01000869",566,116,450
"S01000870",872,188,684
"S01000871",730,145,585
"S01000872",650,152,498
"S01000873",1341,335,1006
"S01000874",545,108,437
"S01000875",736,175,561
"S01000876",744,138,606
"S01000877",741,170,571
"S01000878",588,75,513
"S01000879",876,133,743
"S01000880",778,120,658
"S01000881",703,178,525
"S01000882",939,212,727
"S01000883",923,164,759
"S01000884",569,131,438
"S01000885",524,58,466
"S01000886",734,150,584
"S01000887",781,115,666
"S01000888",724,152,572
"S01000889",796,180,616
"S01000890",796,178,618
"S01000891",925,156,769
"S01000892",586,79,507
"S01000893",730,73,657
"S01000894",523,73,450
"S01000895",900,128,772
"S01000896",485,64,421
"S01000897",685,180,505
"S01000898",576,134,442
"S01000899",867,236,631
"S01000900",657,145,512
"S01000901",675,168,507
"S01000902",979,193,786
"S01000903",968,244,724
"S01000904",689,164,525
"S01000905",701,125,576
"S01000906",565,124,441
"S01000907",773,173,600
"S01000908",773,165,608
"S01000909",934,150,784
"S01000910",870,145,725
"S01000911",966,179,787
"S01000912",754,153,601
"S01000913",722,128,594
"S01000914",855,203,652
"S01000915",960,200,760
"S01000916",991,239,752
"S01000917",683,154,529
"S01000918",643,162,481
"S01000919",522,116,406
"S01000920",505,91,414
"S01000921",738,163,575
"S01000922",818,158,660
"S01000923",751,151,600
"S01000924",841,165,676
"S01000925",943,174,769
"S01000926",650,167,483
"S01000927",1010,228,782
"S01000928",979,230,749
"S01000929",511,112,399
"S01000930",601,155,446
"S01000931",708,144,564
"S01000932",931,240,691
"S01000933",870,179,691
"S01000934",931,275,656
"S01000935",808,168,640
"S01000936",926,222,704
"S01000937",586,135,451
"S01000938",846,180,666
"S01000939",740,196,544
"S01000940",838,220,618
"S01000941",542,142,400
"S01000942",937,215,722
"S01000943",845,161,684
"S01000944",790,174,616
"S01000945",760,170,590
"S01000946",756,151,605
"S01000947",730,174,556
"S01000948",721,125,596
"S01000949",613,133,480
"S01000950",810,212,598
"S01000951",708,178,530
"S01000952",807,178,629
"S01000953",906,161,745
"S01000954",888,170,718
"S01000955",527,89,438
"S01000956",858,193,665
"S01000957",511,101,410
"S01000958",827,156,671
"S01000959",688,119,569
"S01000960",554,170,384
"S01000961",853,167,686
"S01000962",572,116,456
"S01000963",744,180,564
"S01000964",877,193,684
"S01000965",665,115,550
"S01000966",1080,260,820
"S01000967",576,150,426
"S01000968",956,189,767
"S01000969",849,219,630
"S01000970",793,197,596
"S01000971",685,114,571
"S01000972",977,142,835
"S01000973",592,112,480
"S01000974",848,160,688
"S01000975",646,116,530
"S01000976",494,102,392
"S01000977",769,139,630
"S01000978",755,143,612
"S01000979",647,119,528
"S01000980",752,185,567
"S01000981",648,110,538
"S01000982",595,139,456
"S01000983",559,127,432
"S01000984",635,135,500
"S01000985",710,152,558
"S01000986",525,100,425
"S01000987",627,111,516
"S01000988",488,77,411
"S01000989",833,127,706
"S01000990",636,156,480
"S01000991",507,72,435
"S01000992",908,245,663
"S01000993",897,180,717
"S01000994",1031,237,794
"S01000995",831,61,770
"S01000996",1030,288,742
"S01000997",992,143,849
"S01000998",621,132,489
"S01000999",696,88,608
"S01001000",531,123,408
"S01001001",546,82,464
"S01001002",673,56,617
"S01001003",929,115,814
"S01001004",653,122,531
"S01001005",895,138,757
"S01001006",771,87,684
"S01001007",792,158,634
"S01001008",737,130,607
"S01001009",614,103,511
"S01001010",780,233,547
"S01001011",617,114,503
"S01001012",845,132,713
"S01001013",893,180,713
"S01001014",794,175,619
"S01001015",613,202,411
"S01001016",956,230,726
"S01001017",710,144,566
"S01001018",783,200,583
"S01001019",979,219,760
"S01001020",523,126,397
"S01001021",855,191,664
"S01001022",828,190,638
"S01001023",986,181,805
"S01001024",881,222,659
"S01001025",915,143,772
"S01001026",823,127,696
"S01001027",851,207,644
"S01001028",783,197,586
"S01001029",748,142,606
"S01001030",741,116,625
"S01001031",949,150,799
"S01001032",733,159,574
"S01001033",716,137,579
"S01001034",823,185,638
"S01001035",543,106,437
"S01001036",538,118,420
"S01001037",879,239,640
"S01001038",669,91,578
"S01001039",549,96,453
"S01001040",613,100,513
"S01001041",527,81,446
"S01001042",865,87,778
"S01001043",699,90,609
"S01001044",991,211,780
"S01001045",567,108,459
"S01001046",499,112,387
"S01001047",691,151,540
"S01001048",624,106,518
"S01001049",689,155,534
"S01001050",942,192,750
"S01001051",694,174,520
"S01001052",567,95,472
"S01001053",800,162,638
"S01001054",666,110,556
"S01001055",776,204,572
"S01001056",747,161,586
"S01001057",667,145,522
"S01001058",771,153,618
"S01001059",634,80,554
"S01001060",766,128,638
"S01001061",790,139,651
"S01001062",547,76,471
"S01001063",787,143,644
"S01001064",773,128,645
"S01001065",753,128,625
"S01001066",732,148,584
"S01001067",777,125,652
"S01001068",857,192,665
"S01001069",871,152,719
"S01001070",876,176,700
"S01001071",667,144,523
"S01001072",761,122,639
"S01001073",994,194,800
"S01001074",511,78,433
"S01001075",847,228,619
"S01001076",783,129,654
"S01001077",793,184,609
"S01001078",814,146,668
"S01001079",501,56,445
"S01001080",540,116,424
"S01001081",620,121,499
"S01001082",883,211,672
"S01001083",798,180,618
"S01001084",894,145,749
