dz_2011,total,owned,nonowned
S01006506,852,621,231
S01006507,1042,734,308
S01006508,888,753,135
S01006509,693,504,189
S01006510,681,490,191
S01006511,995,826,169
S01006512,372,302,70
S01006513,1086,964,122
S01006514,1137,949,188
S01006515,1123,944,179
S01006516,837,663,174
S01006517,1014,865,149
S01006518,884,733,151
S01006519,807,741,66
S01006520,883,658,225
S01006521,742,603,139
S01006522,574,518,56
S01006523,1441,1235,206
S01006524,1044,791,253
S01006525,1146,955,191
S01006526,1395,717,678
S01006527,1266,620,646
S01006528,1074,492,582
S01006529,1082,478,604
S01006530,1122,499,623
S01006531,1307,496,811
S01006532,961,694,267
S01006533,819,687,132
S01006534,910,781,129
S01006535,1105,741,364
S01006536,1344,773,571
S01006537,847,770,77
S01006538,664,626,38
S01006539,959,816,143
S01006540,1260,988,272
S01006541,952,793,159
S01006542,1000,828,172
S01006543,1075,988,87
S01006544,1379,1008,371
S01006545,1276,934,342
S01006546,1124,999,125
S01006547,1461,958,503
S01006548,721,679,42
S01006549,907,769,138
S01006550,1143,1041,102
S01006551,1009,598,411
S01006552,1201,940,261
S01006553,987,737,250
S01006554,922,630,292
S01006555,968,485,483
S01006556,976,528,448
S01006557,799,396,403
S01006558,843,609,234
S01006559,703,495,208
S01006560,985,780,205
S01006561,852,726,126
S01006562,963,740,223
S01006563,1021,761,260
S01006564,1187,425,762
S01006565,1068,420,648
S01006566,823,459,364
S01006567,1211,373,838
S01006568,1135,531,604
S01006569,748,419,329
S01006570,891,593,298
S01006571,1235,794,441
S01006572,1367,1150,217
S01006573,724,573,151
S01006574,977,742,235
S01006575,1138,891,247
S01006576,900,606,294
S01006577,904,575,329
S01006578,1680,803,877
S01006579,1367,574,793
S01006580,848,512,336
S01006581,1326,1080,246
S01006582,621,199,422
S01006583,1091,401,690
S01006584,919,418,501
S01006585,872,298,574
S01006586,939,275,664
S01006587,649,152,497
S01006588,914,199,715
S01006589,1330,308,1022
S01006590,581,250,331
S01006591,850,466,384
S01006592,654,426,228
S01006593,893,464,429
S01006594,794,445,349
S01006595,1013,496,517
S01006596,851,546,305
S01006597,783,369,414
S01006598,1295,863,432
S01006599,1113,570,543
S01006600,1382,900,482
S01006601,1002,647,355
S01006602,1016,758,258
S01006603,1301,759,542
S01006604,917,647,270
S01006605,926,476,450
S01006606,1231,940,291
S01006607,1258,840,418
S01006608,1555,1334,221
S01006609,1352,870,482
S01006610,701,345,356
S01006611,1111,649,462
S01006612,997,808,189
S01006613,453,416,37
S01006614,908,839,69
S01006615,402,368,34
S01006616,755,674,81
S01006617,994,898,96
S01006618,514,485,29
S01006619,948,830,118
S01006620,1020,859,161
S01006621,746,660,86
S01006622,669,607,62
S01006623,1350,744,606
S01006624,806,355,451
S01006625,844,445,399
S01006626,866,353,513
S01006627,843,304,539
S01006628,1410,447,963
S01006629,880,289,591
S01006630,773,364,409
S01006631,1073,495,578
S01006632,1045,270,775
S01006633,950,357,593
S01006634,870,145,725
S01006635,1011,345,666
S01006636,1084,185,899
S01006637,706,264,442
S01006638,1111,393,718
S01006639,1006,271,735
S01006640,817,252,565
S01006641,1309,460,849
S01006642,830,294,536
S01006643,1248,460,788
S01006644,1028,303,725
S01006645,1093,231,862
S01006646,914,188,726
S01006647,671,186,485
S01006648,1292,302,990
S01006649,1204,343,861
S01006650,1414,466,948
S01006651,776,211,565
S01006652,826,275,551
S01006653,818,449,369
S01006654,904,333,571
S01006655,624,357,267
S01006656,1082,386,696
S01006657,599,237,362
S01006658,1264,277,987
S01006659,883,374,509
S01006660,833,148,685
S01006661,736,331,405
S01006662,707,145,562
S01006663,973,236,737
S01006664,503,178,325
S01006665,807,276,531
S01006666,1771,290,1481
S01006667,1251,242,1009
S01006668,723,284,439
S01006669,841,210,631
S01006670,530,223,307
S01006671,655,204,451
S01006672,752,172,580
S01006673,830,230,600
S01006674,1048,139,909
S01006675,774,86,688
S01006676,881,174,707
S01006677,723,218,505
S01006678,1273,305,968
S01006679,945,583,362
S01006680,971,169,802
S01006681,991,422,569
S01006682,956,184,772
S01006683,1283,428,855
S01006684,870,294,576
S01006685,863,327,536
S01006686,952,446,506
S01006687,1000,472,528
S01006688,1039,645,394
S01006689,629,478,151
S01006690,795,481,314
S01006691,903,477,426
S01006692,857,619,238
S01006693,1260,638,622
S01006694,1144,439,705
S01006695,712,484,228
S01006696,1150,494,656
S01006697,1163,525,638
S01006698,936,394,542
S01006699,784,553,231
S01006700,1226,717,509
S01006701,1040,523,517
S01006702,934,584,350
S01006703,773,412,361
S01006704,805,355,450
S01006705,944,517,427
S01006706,809,404,405
S01006707,685,288,397
S01006708,865,511,354
S01006709,1245,628,617
S01006710,1064,704,360
S01006711,1117,645,472
S01006712,631,445,186
S01006713,939,514,425
S01006714,881,565,316
S01006715,1123,350,773
S01006716,606,294,312
S01006717,1067,597,470
S01006718,627,323,304
S01006719,1031,585,446
S01006720,745,430,315
S01006721,942,510,432
S01006722,856,499,357
S01006723,969,600,369
S01006724,1316,282,1034
S01006725,950,439,511
S01006726,1391,186,1205
S01006727,1311,285,1026
S01006728,887,492,395
S01006729,986,269,717
S01006730,778,496,282
S01006731,503,296,207
S01006732,1369,1081,288
S01006733,911,818,93
S01006734,1081,936,145
S01006735,925,831,94
S01006736,1318,1171,147
S01006737,1055,891,164
S01006738,827,488,339
S01006739,607,470,137
S01006740,1039,701,338
S01006741,754,496,258
S01006742,460,306,154
S01006743,1073,720,353
S01006744,662,484,178
S01006745,1048,618,430
S01006746,806,508,298
S01006747,1016,824,192
S01006748,1144,877,267
S01006749,1264,940,324
S01006750,733,544,189
S01006751,509,312,197
S01006752,810,569,241
S01006753,913,775,138
S01006754,1124,1015,109
S01006755,1082,782,300
S01006756,909,653,256
S01006757,1206,1115,91
S01006758,694,654,40
S01006759,1253,1047,206
S01006760,593,535,58
S01006761,927,788,139
S01006762,939,711,228
S01006763,1100,990,110
S01006764,790,713,77
S01006765,725,599,126
S01006766,608,575,33
S01006767,869,662,207
S01006768,599,589,10
S01006769,1283,1158,125
S01006770,655,630,25
S01006771,563,508,55
S01006772,1218,1129,89
S01006773,672,630,42
S01006774,799,760,39
S01006775,758,547,211
S01006776,662,395,267
S01006777,918,878,40
S01006778,867,762,105
S01006779,1058,661,397
S01006780,868,623,245
S01006781,972,857,115
S01006782,1015,858,157
S01006783,672,555,117
S01006784,697,596,101
S01006785,712,660,52
S01006786,1087,967,120
S01006787,968,843,125
S01006788,645,552,93
S01006789,894,539,355
S01006790,968,570,398
S01006791,529,255,274
S01006792,658,341,317
S01006793,567,314,253
S01006794,775,609,166
S01006795,765,609,156
S01006796,795,613,182
S01006797,737,454,283
S01006798,733,459,274
S01006799,1025,715,310
S01006800,960,783,177
S01006801,1333,1123,210
S01006802,675,359,316
S01006803,766,473,293
S01006804,1274,970,304
S01006805,1346,995,351
S01006806,1088,827,261
S01006807,620,478,142
S01006808,968,838,130
S01006809,972,648,324
S01006810,1008,730,278
S01006811,1090,805,285
S01006812,820,602,218
S01006813,996,738,258
S01006814,1105,979,126
S01006815,753,484,269
S01006816,924,788,136
S01006817,853,587,266
S01006818,719,604,115
S01006819,1264,1084,180
S01006820,640,574,66
S01006821,1156,992,164
S01006822,759,594,165
S01006823,827,707,120
S01006824,727,363,364
S01006825,1017,835,182
S01006826,1243,1052,191
S01006827,1025,673,352
S01006828,1009,675,334
S01006829,706,605,101
S01006830,634,495,139
S01006831,1229,1090,139
S01006832,1003,822,181
S01006833,712,588,124
S01006834,336,299,37
S01006835,1287,817,470
S01006836,514,395,119
S01006837,1004,834,170
S01006838,979,812,167
S01006839,933,782,151
S01006840,1211,1132,79
S01006841,1332,1165,167
S01006842,994,888,106
S01006843,965,921,44
S01006844,671,625,46
S01006845,1028,942,86
S01006846,837,760,77
S01006847,754,727,27
S01006848,1336,1036,300
S01006849,1300,1020,280
S01006850,1119,905,214
S01006851,805,585,220
S01006852,595,535,60
S01006853,938,729,209
S01006854,1601,1261,340
S01006855,790,612,178
S01006856,942,547,395
S01006857,1052,666,386
S01006858,642,553,89
S01006859,1435,1122,313
S01006860,692,425,267
S01006861,861,741,120
S01006862,933,705,228
S01006863,1291,1042,249
S01006864,148,83,65
S01006865,902,693,209
S01006866,636,564,72
S01006867,1192,1033,159
S01006868,879,606,273
S01006869,573,342,231
S01006870,627,528,99
S01006871,967,789,178
S01006872,1634,1115,519
S01006873,1198,901,297
S01006874,566,383,183
S01006875,958,569,389
S01006876,1121,872,249
S01006877,1074,828,246
S01006878,956,566,390
S01006879,1086,647,439
S01006880,787,645,142
S01006881,578,469,109
S01006882,841,585,256
S01006883,635,491,144
S01006884,1050,781,269
S01006885,743,632,111
S01006886,733,514,219
S01006887,905,776,129
S01006888,939,801,138
S01006889,647,424,223
S01006890,1031,866,165
S01006891,644,530,114
S01006892,584,334,250
S01006893,1004,569,435
S01006894,597,412,185
S01006895,474,279,195
S01006896,745,629,116
S01006897,988,862,126
S01006898,548,452,96
S01006899,510,475,35
S01006900,455,410,45
S01006901,793,522,271
S01006902,693,411,282
S01006903,894,559,335
S01006904,537,337,200
S01006905,997,768,229
S01006906,948,507,441
S01006907,712,374,338
S01006908,911,595,316
S01006909,428,378,50
S01006910,501,400,101
S01006911,1869,1629,240
S01006912,245,189,56
S01006913,2012,1776,236
S01006914,857,653,204
S01006915,848,752,96
S01006916,360,285,75
S01006917,1456,1263,193
S01006918,1805,1568,237
S01006919,687,481,206
S01006920,816,574,242
S01006921,1086,1003,83
S01006922,1998,1689,309
S01006923,1456,1297,159
S01006924,758,545,213
S01006925,499,431,68
S01006926,1739,1485,254
S01006927,374,218,156
S01006928,2797,2267,530
S01006929,1797,1571,226
S01006930,677,657,20
S01006931,1948,1558,390
S01006932,838,707,131
S01006933,801,733,68
S01006934,1687,1350,337
S01006935,911,862,49
S01006936,698,611,87
S01006937,786,707,79
S01006938,844,725,119
S01006939,615,584,31
S01006940,995,893,102
S01006941,1283,1127,156
S01006942,2211,1944,267
S01006943,1763,1480,283
S01006944,83,68,15
S01006945,894,828,66
S01006946,1348,1130,218
S01006947,1444,1225,219
S01006948,1443,1197,246
S01006949,765,707,58
S01006950,718,560,158
S01006951,1316,1051,265
S01006952,1529,1227,302
S01006953,1512,1368,144
S01006954,1765,1583,182
S01006955,622,420,202
S01006956,1548,1337,211
S01006957,1645,1365,280
S01006958,1001,855,146
S01006959,813,508,305
S01006960,2269,2045,224
S01006961,2311,2024,287
S01006962,871,793,78
S01006963,966,893,73
S01006964,848,676,172
S01006965,488,417,71
S01006966,731,504,227
S01006967,744,704,40
S01006968,1049,755,294
S01006969,951,787,164
S01006970,610,548,62
S01006971,980,687,293
S01006972,522,449,73
S01006973,591,497,94
S01006974,1386,1177,209
S01006975,1168,980,188
S01006976,2528,2245,283
S01006977,2905,2398,507
S01006978,855,630,225
S01006979,1437,1096,341
S01006980,688,535,153
S01006981,798,608,190
S01006982,1212,961,251
S01006983,1001,772,229
S01006984,976,805,171
S01006985,1340,1032,308
S01006986,749,583,166
S01006987,1036,772,264
S01006988,762,582,180
S01006989,855,767,88
S01006990,1006,787,219
S01006991,617,367,250
S01006992,883,768,115
S01006993,740,626,114
S01006994,628,502,126
S01006995,1152,905,247
S01006996,939,740,199
S01006997,786,697,89
S01006998,1206,963,243
S01006999,848,656,192
S01007000,1439,1085,354
S01007001,1341,1087,254
S01007002,755,446,309
S01007003,616,468,148
S01007004,1043,820,223
S01007005,1041,839,202
S01007006,1001,695,306
S01007007,848,623,225
S01007008,841,546,295
S01007009,1292,938,354
S01007010,842,625,217
S01007011,1116,628,488
S01007012,921,392,529
S01007013,1259,1001,258
S01007014,1361,1131,230
S01007015,739,498,241
S01007016,592,460,132
S01007017,1038,664,374
S01007018,1204,961,243
S01007019,1052,700,352
S01007020,1371,892,479
S01007021,1325,998,327
S01007022,851,605,246
S01007023,678,479,199
S01007024,1170,848,322
S01007025,1150,744,406
S01007026,994,782,212
S01007027,1314,991,323
S01007028,1465,1179,286
S01007029,662,606,56
S01007030,1009,649,360
S01007031,630,385,245
S01007032,1137,652,485
S01007033,1060,698,362
S01007034,1057,627,430
S01007035,922,488,434
S01007036,1080,823,257
S01007037,1157,774,383
S01007038,854,597,257
S01007039,967,639,328
S01007040,1237,899,338
S01007041,880,646,234
S01007042,987,749,238
S01007043,1076,793,283
S01007044,1007,840,167
S01007045,932,806,126
S01007046,574,494,80
S01007047,1014,809,205
S01007048,1293,1067,226
S01007049,1039,677,362
S01007050,1042,856,186
S01007051,1029,828,201
S01007052,573,481,92
S01007053,802,691,111
S01007054,1124,835,289
S01007055,515,445,70
S01007056,878,747,131
S01007057,833,674,159
S01007058,767,556,211
S01007059,1336,971,365
S01007060,604,336,268
S01007061,1155,972,183
S01007062,758,658,100
S01007063,1503,1205,298
S01007064,762,614,148
S01007065,950,806,144
S01007066,648,543,105
S01007067,1258,1089,169
S01007068,660,394,266
S01007069,995,655,340
S01007070,733,536,197
S01007071,1234,1007,227
S01007072,1327,1196,131
S01007073,1378,1142,236
S01007074,1102,818,284
S01007075,901,549,352
S01007076,1044,803,241
S01007077,757,595,162
S01007078,960,568,392
S01007079,1221,743,478
S01007080,790,476,314
S01007081,1064,552,512
S01007082,699,372,327
S01007083,904,315,589
S01007084,849,547,302
S01007085,1076,522,554
S01007086,1343,330,1013
S01007087,958,371,587
S01007088,647,252,395
S01007089,529,487,42
S01007090,540,457,83
S01007091,1388,987,401
S01007092,624,375,249
S01007093,952,859,93
S01007094,2263,1695,568
S01007095,736,649,87
S01007096,1167,970,197
S01007097,2154,1628,526
S01007098,1636,1200,436
S01007099,883,775,108
S01007100,863,699,164
S01007101,1302,824,478
S01007102,838,691,147
S01007103,832,669,163
S01007104,486,397,89
S01007105,655,547,108
S01007106,896,734,162
S01007107,766,705,61
S01007108,1249,931,318
S01007109,1526,1034,492
S01007110,1051,727,324
S01007111,534,438,96
S01007112,905,699,206
S01007113,707,551,156
S01007114,888,761,127
S01007115,669,621,48
S01007116,1304,1171,133
S01007117,553,502,51
S01007118,847,416,431
S01007119,964,428,536
S01007120,1155,544,611
S01007121,765,331,434
S01007122,594,388,206
S01007123,941,542,399
S01007124,1095,815,280
S01007125,867,482,385
S01007126,1082,334,748
S01007127,1007,316,691
S01007128,979,499,480
S01007129,956,848,108
S01007130,676,585,91
S01007131,1096,974,122
S01007132,700,652,48
S01007133,674,563,111
S01007134,860,677,183
S01007135,806,691,115
S01007136,661,540,121
S01007137,842,743,99
S01007138,957,846,111
S01007139,776,645,131
S01007140,1022,778,244
S01007141,1250,1113,137
S01007142,201,183,18
S01007143,1174,1016,158
S01007144,2231,1832,399
S01007145,892,757,135
S01007146,881,707,174
S01007147,830,767,63
S01007148,538,501,37
S01007149,850,794,56
S01007150,700,639,61
S01007151,1163,1083,80
S01007152,763,686,77
S01007153,916,806,110
S01007154,973,740,233
S01007155,715,587,128
S01007156,1127,802,325
S01007157,748,523,225
S01007158,1043,871,172
S01007159,933,609,324
S01007160,969,624,345
S01007161,987,739,248
S01007162,608,292,316
S01007163,1009,770,239
S01007164,760,628,132
S01007165,927,760,167
S01007166,1094,909,185
S01007167,795,745,50
S01007168,965,918,47
S01007169,854,712,142
S01007170,744,549,195
S01007171,995,625,370
S01007172,1248,1029,219
S01007173,523,451,72
S01007174,944,682,262
S01007175,862,522,340
S01007176,1078,650,428
S01007177,801,421,380
S01007178,1045,368,677
S01007179,1254,1069,185
S01007180,967,828,139
S01007181,1044,830,214
S01007182,1227,880,347
S01007183,1317,853,464
S01007184,1039,608,431
S01007185,939,382,557
S01007186,777,259,518
S01007187,804,292,512
S01007188,803,441,362
S01007189,869,401,468
S01007190,935,664,271
S01007191,735,421,314
S01007192,784,489,295
S01007193,893,524,369
S01007194,641,215,426
S01007195,1027,540,487
S01007196,974,466,508
S01007197,743,203,540
S01007198,532,222,310
S01007199,1091,403,688
S01007200,849,573,276
S01007201,1014,681,333
S01007202,735,446,289
S01007203,840,650,190
S01007204,1054,683,371
S01007205,827,572,255
S01007206,392,250,142
S01007207,1045,781,264
S01007208,990,426,564
S01007209,767,399,368
S01007210,1067,530,537
S01007211,967,443,524
S01007212,847,599,248
S01007213,873,620,253
S01007214,994,466,528
S01007215,984,601,383
S01007216,763,607,156
S01007217,1186,750,436
S01007218,992,853,139
S01007219,1097,732,365
S01007220,787,525,262
S01007221,1101,921,180
S01007222,1100,738,362
S01007223,699,580,119
S01007224,742,556,186
S01007225,1199,915,284
S01007226,1027,783,244
S01007227,1533,1187,346
S01007228,819,531,288
S01007229,1249,764,485
S01007230,1283,459,824
S01007231,812,320,492
S01007232,726,208,518
S01007233,788,515,273
S01007234,613,374,239
S01007235,1078,550,528
S01007236,1076,708,368
S01007237,779,622,157
S01007238,1007,683,324
S01007239,1374,1076,298
S01007240,539,320,219
S01007241,1174,931,243
S01007242,1158,953,205
S01007243,1413,1199,214
S01007244,717,539,178
S01007245,776,540,236
S01007246,891,659,232
S01007247,1080,595,485
S01007248,1060,897,163
S01007249,553,443,110
S01007250,822,525,297
S01007251,893,519,374
S01007252,912,628,284
S01007253,798,676,122
S01007254,925,482,443
S01007255,1038,366,672
S01007256,935,432,503
S01007257,894,405,489
S01007258,870,506,364
S01007259,1032,522,510
S01007260,1190,590,600
S01007261,1047,835,212
S01007262,712,495,217
S01007263,1112,788,324
S01007264,839,625,214
S01007265,1166,686,480
S01007266,823,497,326
S01007267,610,332,278
S01007268,594,359,235
S01007269,667,500,167
S01007270,457,256,201
S01007271,1116,784,332
S01007272,1140,559,581
S01007273,759,518,241
S01007274,904,545,359
S01007275,690,509,181
S01007276,1159,872,287
S01007277,919,803,116
S01007278,941,788,153
S01007279,665,438,227
S01007280,674,315,359
S01007281,1087,754,333
S01007282,538,243,295
S01007283,992,684,308
S01007284,841,605,236
S01007285,1102,772,330
S01007286,1430,977,453
S01007287,562,361,201
S01007288,647,429,218
S01007289,1004,779,225
S01007290,1125,520,605
S01007291,599,315,284
S01007292,771,639,132
S01007293,1055,567,488
S01007294,1003,773,230
S01007295,665,200,465
S01007296,544,271,273
S01007297,1145,844,301
S01007298,532,368,164
S01007299,939,597,342
S01007300,630,332,298
S01007301,854,626,228
S01007302,794,533,261
S01007303,1060,816,244
S01007304,684,479,205
S01007305,1005,754,251
S01007306,1231,827,404
S01007307,1084,792,292
S01007308,825,576,249
S01007309,779,546,233
S01007310,863,624,239
S01007311,882,523,359
S01007312,862,662,200
S01007313,965,780,185
S01007314,871,685,186
S01007315,937,727,210
S01007316,1141,694,447
S01007317,1117,723,394
S01007318,607,364,243
S01007319,840,590,250
S01007320,887,625,262
S01007321,586,453,133
S01007322,829,539,290
S01007323,448,326,122
S01007324,323,186,137
S01007325,828,537,291
S01007326,964,548,416
S01007327,865,513,352
S01007328,1074,640,434
S01007329,702,405,297
S01007330,766,570,196
S01007331,1082,774,308
S01007332,624,538,86
S01007333,1098,817,281
S01007334,995,373,622
S01007335,898,463,435
S01007336,724,344,380
S01007337,654,371,283
S01007338,1084,781,303
S01007339,841,672,169
S01007340,662,389,273
S01007341,843,675,168
S01007342,797,709,88
S01007343,649,352,297
S01007344,574,411,163
S01007345,691,284,407
S01007346,824,240,584
S01007347,1049,529,520
S01007348,792,308,484
S01007349,687,342,345
S01007350,638,380,258
S01007351,650,483,167
S01007352,488,319,169
S01007353,791,617,174
S01007354,786,618,168
S01007355,1295,986,309
S01007356,714,541,173
S01007357,793,575,218
S01007358,1333,995,338
S01007359,972,623,349
S01007360,866,587,279
S01007361,983,787,196
S01007362,1104,826,278
S01007363,1000,629,371
S01007364,1093,573,520
S01007365,467,319,148
S01007366,550,273,277
S01007367,623,374,249
S01007368,659,363,296
S01007369,1138,849,289
S01007370,915,531,384
S01007371,947,690,257
S01007372,1163,958,205
S01007373,703,626,77
S01007374,810,676,134
S01007375,464,408,56
S01007376,1010,639,371
S01007377,664,619,45
S01007378,807,663,144
S01007379,925,668,257
S01007380,844,552,292
S01007381,470,374,96
S01007382,984,715,269
S01007383,749,594,155
S01007384,1074,821,253
S01007385,1228,928,300
S01007386,806,752,54
S01007387,839,763,76
S01007388,741,667,74
S01007389,763,222,541
S01007390,727,278,449
S01007391,664,619,45
S01007392,450,421,29
S01007393,876,741,135
S01007394,702,582,120
S01007395,1054,628,426
S01007396,1044,632,412
S01007397,937,748,189
S01007398,820,428,392
S01007399,891,305,586
S01007400,845,674,171
S01007401,752,626,126
S01007402,700,649,51
S01007403,943,502,441
S01007404,576,350,226
S01007405,813,670,143
S01007406,989,890,99
S01007407,1108,955,153
S01007408,862,660,202
S01007409,619,537,82
S01007410,952,356,596
S01007411,1062,376,686
S01007412,579,318,261
S01007413,997,860,137
S01007414,858,733,125
S01007415,853,455,398
S01007416,595,181,414
S01007417,220,166,54
S01007418,890,536,354
S01007419,1001,431,570
S01007420,3911,3135,776
S01007421,1392,1142,250
S01007422,754,564,190
S01007423,388,243,145
S01007424,787,713,74
S01007425,947,728,219
S01007426,818,470,348
S01007427,744,423,321
S01007428,1005,652,353
S01007429,925,575,350
S01007430,554,382,172
S01007431,674,612,62
S01007432,782,609,173
S01007433,1103,782,321
S01007434,589,294,295
S01007435,775,597,178
S01007436,989,432,557
S01007437,567,329,238
S01007438,671,431,240
S01007439,858,584,274
S01007440,763,560,203
S01007441,656,587,69
S01007442,864,789,75
S01007443,971,746,225
S01007444,1472,1254,218
S01007445,687,644,43
S01007446,728,646,82
S01007447,651,574,77
S01007448,1134,941,193
S01007449,1173,695,478
S01007450,1353,737,616
S01007451,623,481,142
S01007452,1429,981,448
S01007453,110,48,62
S01007454,512,283,229
S01007455,846,336,510
S01007456,1051,412,639
S01007457,1033,624,409
S01007458,811,644,167
S01007459,873,664,209
S01007460,914,556,358
S01007461,920,294,626
S01007462,993,544,449
S01007463,1149,324,825
S01007464,1042,350,692
S01007465,785,164,621
S01007466,1145,370,775
S01007467,996,532,464
S01007468,1143,977,166
S01007469,611,399,212
S01007470,699,271,428
S01007471,479,315,164
S01007472,1077,640,437
S01007473,895,660,235
S01007474,755,670,85
S01007475,517,396,121
S01007476,738,594,144
S01007477,737,556,181
S01007478,1117,728,389
S01007479,435,308,127
S01007480,1324,1040,284
S01007481,988,842,146
S01007482,668,465,203
S01007483,955,683,272
S01007484,832,495,337
S01007485,842,325,517
S01007486,855,218,637
S01007487,1185,592,593
S01007488,1194,757,437
S01007489,856,627,229
S01007490,1203,730,473
S01007491,1061,630,431
S01007492,679,450,229
S01007493,1109,637,472
S01007494,740,518,222
S01007495,844,660,184
S01007496,1185,769,416
S01007497,596,286,310
S01007498,1024,721,303
S01007499,842,491,351
S01007500,766,396,370
