"dz_2011","total","active","inactive"
"S01006506",692,525,167
"S01006507",640,469,171
"S01006508",530,435,95
"S01006509",420,320,100
"S01006510",455,305,150
"S01006511",551,365,186
"S01006512",340,252,88
"S01006513",299,183,116
"S01006514",709,490,219
"S01006515",537,376,161
"S01006516",541,374,167
"S01006517",727,525,202
"S01006518",464,316,148
"S01006519",625,437,188
"S01006520",497,348,149
"S01006521",540,383,157
"S01006522",402,301,101
"S01006523",667,476,191
"S01006524",561,355,206
"S01006525",566,383,183
"S01006526",676,488,188
"S01006527",496,342,154
"S01006528",805,531,274
"S01006529",696,511,185
"S01006530",565,399,166
"S01006531",771,508,263
"S01006532",519,369,150
"S01006533",539,409,130
"S01006534",663,502,161
"S01006535",929,769,160
"S01006536",824,706,118
"S01006537",495,335,160
"S01006538",410,301,109
"S01006539",521,376,145
"S01006540",723,550,173
"S01006541",556,405,151
"S01006542",707,478,229
"S01006543",526,383,143
"S01006544",811,652,159
"S01006545",759,577,182
"S01006546",470,322,148
"S01006547",916,641,275
"S01006548",503,346,157
"S01006549",606,416,190
"S01006550",659,440,219
"S01006551",295,196,99
"S01006552",700,537,163
"S01006553",550,367,183
"S01006554",521,401,120
"S01006555",621,474,147
"S01006556",569,408,161
"S01006557",525,384,141
"S01006558",587,465,122
"S01006559",396,283,113
"S01006560",706,533,173
"S01006561",558,411,147
"S01006562",531,364,167
"S01006563",602,428,174
"S01006564",818,622,196
"S01006565",925,656,269
"S01006566",663,504,159
"S01006567",735,548,187
"S01006568",863,739,124
"S01006569",470,367,103
"S01006570",609,464,145
"S01006571",697,545,152
"S01006572",643,464,179
"S01006573",534,403,131
"S01006574",741,532,209
"S01006575",721,562,159
"S01006576",492,403,89
"S01006577",651,536,115
"S01006578",952,780,172
"S01006579",934,787,147
"S01006580",615,512,103
"S01006581",670,492,178
"S01006582",797,659,138
"S01006583",666,547,119
"S01006584",561,464,97
"S01006585",691,511,180
"S01006586",929,681,248
"S01006587",420,332,88
"S01006588",551,458,93
"S01006589",624,484,140
"S01006590",596,480,116
"S01006591",649,554,95
"S01006592",600,521,79
"S01006593",677,572,105
"S01006594",446,346,100
"S01006595",828,707,121
"S01006596",590,504,86
"S01006597",488,420,68
"S01006598",766,586,180
"S01006599",648,475,173
"S01006600",798,622,176
"S01006601",847,681,166
"S01006602",606,447,159
"S01006603",625,425,200
"S01006604",538,379,159
"S01006605",548,399,149
"S01006606",618,422,196
"S01006607",695,515,180
"S01006608",873,678,195
"S01006609",772,551,221
"S01006610",328,242,86
"S01006611",654,475,179
"S01006612",669,518,151
"S01006613",472,412,60
"S01006614",484,423,61
"S01006615",240,193,47
"S01006616",655,587,68
"S01006617",454,360,94
"S01006618",443,342,101
"S01006619",705,548,157
"S01006620",756,616,140
"S01006621",414,326,88
"S01006622",543,471,72
"S01006623",584,440,144
"S01006624",857,580,277
"S01006625",510,392,118
"S01006626",548,412,136
"S01006627",915,749,166
"S01006628",792,673,119
"S01006629",568,408,160
"S01006630",459,309,150
"S01006631",711,527,184
"S01006632",624,452,172
"S01006633",503,338,165
"S01006634",445,304,141
"S01006635",485,358,127
"S01006636",603,429,174
"S01006637",619,457,162
"S01006638",758,559,199
"S01006639",805,574,231
"S01006640",683,506,177
"S01006641",575,450,125
"S01006642",1306,771,535
"S01006643",701,528,173
"S01006644",893,642,251
"S01006645",547,387,160
"S01006646",995,605,390
"S01006647",477,346,131
"S01006648",1719,1096,623
"S01006649",1013,778,235
"S01006650",661,472,189
"S01006651",564,380,184
"S01006652",505,390,115
"S01006653",566,414,152
"S01006654",728,508,220
"S01006655",554,356,198
"S01006656",834,650,184
"S01006657",474,349,125
"S01006658",1018,734,284
"S01006659",566,354,212
"S01006660",357,241,116
"S01006661",660,416,244
"S01006662",797,446,351
"S01006663",512,315,197
"S01006664",201,134,67
"S01006665",655,406,249
"S01006666",1093,754,339
"S01006667",613,404,209
"S01006668",831,547,284
"S01006669",1101,519,582
"S01006670",839,543,296
"S01006671",2422,1080,1342
"S01006672",648,417,231
"S01006673",665,442,223
"S01006674",672,439,233
"S01006675",526,387,139
"S01006676",569,384,185
"S01006677",597,416,181
"S01006678",893,627,266
"S01006679",548,397,151
"S01006680",630,468,162
"S01006681",588,444,144
"S01006682",629,458,171
"S01006683",684,507,177
"S01006684",589,427,162
"S01006685",597,455,142
"S01006686",472,347,125
"S01006687",647,473,174
"S01006688",672,427,245
"S01006689",529,405,124
"S01006690",472,345,127
"S01006691",466,345,121
"S01006692",594,395,199
"S01006693",780,608,172
"S01006694",555,348,207
"S01006695",535,373,162
"S01006696",608,436,172
"S01006697",691,495,196
"S01006698",511,336,175
"S01006699",377,287,90
"S01006700",658,449,209
"S01006701",507,373,134
"S01006702",488,377,111
"S01006703",468,355,113
"S01006704",446,297,149
"S01006705",608,418,190
"S01006706",451,341,110
"S01006707",444,316,128
"S01006708",589,429,160
"S01006709",681,485,196
"S01006710",640,462,178
"S01006711",602,421,181
"S01006712",288,195,93
"S01006713",597,432,165
"S01006714",441,315,126
"S01006715",416,294,122
"S01006716",550,392,158
"S01006717",780,569,211
"S01006718",471,343,128
"S01006719",691,491,200
"S01006720",446,339,107
"S01006721",724,519,205
"S01006722",481,336,145
"S01006723",610,420,190
"S01006724",676,469,207
"S01006725",458,321,137
"S01006726",975,715,260
"S01006727",704,481,223
"S01006728",542,399,143
"S01006729",596,409,187
"S01006730",547,416,131
"S01006731",468,313,155
"S01006732",774,560,214
"S01006733",625,482,143
"S01006734",693,544,149
"S01006735",695,498,197
"S01006736",762,674,88
"S01006737",414,288,126
"S01006738",684,602,82
"S01006739",510,427,83
"S01006740",557,417,140
"S01006741",496,321,175
"S01006742",328,217,111
"S01006743",422,325,97
"S01006744",498,401,97
"S01006745",601,428,173
"S01006746",592,451,141
"S01006747",621,424,197
"S01006748",701,499,202
"S01006749",702,535,167
"S01006750",539,373,166
"S01006751",279,202,77
"S01006752",521,362,159
"S01006753",706,506,200
"S01006754",745,507,238
"S01006755",627,501,126
"S01006756",647,518,129
"S01006757",707,585,122
"S01006758",575,469,106
"S01006759",363,289,74
"S01006760",320,271,49
"S01006761",584,456,128
"S01006762",665,485,180
"S01006763",478,419,59
"S01006764",656,559,97
"S01006765",487,414,73
"S01006766",487,395,92
"S01006767",544,437,107
"S01006768",495,386,109
"S01006769",684,533,151
"S01006770",609,449,160
"S01006771",196,157,39
"S01006772",683,560,123
"S01006773",697,547,150
"S01006774",534,432,102
"S01006775",509,388,121
"S01006776",283,210,73
"S01006777",534,390,144
"S01006778",525,383,142
"S01006779",507,382,125
"S01006780",431,327,104
"S01006781",543,376,167
"S01006782",590,462,128
"S01006783",505,338,167
"S01006784",418,321,97
"S01006785",487,390,97
"S01006786",525,417,108
"S01006787",642,456,186
"S01006788",703,570,133
"S01006789",390,276,114
"S01006790",545,380,165
"S01006791",390,289,101
"S01006792",509,361,148
"S01006793",414,319,95
"S01006794",436,282,154
"S01006795",382,255,127
"S01006796",462,328,134
"S01006797",658,503,155
"S01006798",578,442,136
"S01006799",511,363,148
"S01006800",509,365,144
"S01006801",671,491,180
"S01006802",493,371,122
"S01006803",481,357,124
"S01006804",541,421,120
"S01006805",821,640,181
"S01006806",794,596,198
"S01006807",472,366,106
"S01006808",467,335,132
"S01006809",581,396,185
"S01006810",656,467,189
"S01006811",787,602,185
"S01006812",575,452,123
"S01006813",414,318,96
"S01006814",537,377,160
"S01006815",408,307,101
"S01006816",533,379,154
"S01006817",622,480,142
"S01006818",544,426,118
"S01006819",909,744,165
"S01006820",354,267,87
"S01006821",806,657,149
"S01006822",1393,1140,253
"S01006823",536,381,155
"S01006824",601,441,160
"S01006825",646,492,154
"S01006826",683,501,182
"S01006827",588,422,166
"S01006828",748,562,186
"S01006830",571,416,155
"S01006831",423,278,145
"S01006832",842,604,238
"S01006833",318,224,94
"S01006835",479,344,135
"S01006837",374,264,110
"S01006838",485,376,109
"S01006839",786,610,176
"S01006840",498,360,138
"S01006841",710,579,131
"S01006842",643,507,136
"S01006843",642,527,115
"S01006844",560,463,97
"S01006845",657,549,108
"S01006846",438,355,83
"S01006847",518,421,97
"S01006848",1134,856,278
"S01006849",295,261,34
"S01006850",743,628,115
"S01006851",589,446,143
"S01006852",468,355,113
"S01006853",639,483,156
"S01006854",342,247,95
"S01006855",624,467,157
"S01006856",483,384,99
"S01006857",1002,768,234
"S01006858",483,360,123
"S01006859",740,541,199
"S01006860",393,302,91
"S01006861",520,407,113
"S01006862",502,377,125
"S01006863",375,281,94
"S01006865",602,429,173
"S01006866",413,259,154
"S01006867",491,326,165
"S01006868",496,358,138
"S01006869",447,331,116
"S01006870",355,256,99
"S01006871",410,300,110
"S01006872",983,744,239
"S01006873",788,530,258
"S01006874",447,342,105
"S01006875",208,160,48
"S01006876",702,553,149
"S01006877",703,550,153
"S01006878",520,395,125
"S01006879",853,627,226
"S01006880",443,359,84
"S01006881",430,333,97
"S01006882",155,113,42
"S01006883",329,250,79
"S01006884",536,400,136
"S01006885",472,344,128
"S01006886",575,425,150
"S01006887",526,398,128
"S01006888",596,453,143
"S01006889",624,440,184
"S01006890",487,378,109
"S01006891",474,370,104
"S01006892",367,266,101
"S01006893",231,172,59
"S01006894",718,491,227
"S01006895",411,323,88
"S01006896",606,459,147
"S01006897",572,442,130
"S01006898",559,443,116
"S01006899",462,394,68
"S01006900",467,379,88
"S01006901",460,361,99
"S01006902",502,383,119
"S01006903",587,444,143
"S01006904",491,376,115
"S01006905",645,448,197
"S01006906",582,407,175
"S01006907",418,337,81
"S01006908",618,468,150
"S01006910",1134,886,248
"S01006912",628,506,122
"S01006913",1180,1004,176
"S01006914",557,460,97
"S01006915",609,482,127
"S01006916",111,90,21
"S01006917",956,815,141
"S01006918",255,190,65
"S01006919",280,185,95
"S01006920",125,85,40
"S01006921",396,321,75
"S01006922",237,178,59
"S01006923",825,654,171
"S01006924",771,611,160
"S01006925",477,355,122
"S01006926",95,83,12
"S01006928",1818,1544,274
"S01006929",623,479,144
"S01006930",719,546,173
"S01006931",1346,1145,201
"S01006932",531,435,96
"S01006933",474,394,80
"S01006934",448,321,127
"S01006935",535,400,135
"S01006936",441,328,113
"S01006937",565,457,108
"S01006938",382,309,73
"S01006939",383,291,92
"S01006940",743,564,179
"S01006941",497,373,124
"S01006942",793,616,177
"S01006945",409,305,104
"S01006946",760,621,139
"S01006947",367,332,35
"S01006948",657,489,168
"S01006949",489,386,103
"S01006951",361,303,58
"S01006952",613,450,163
"S01006953",638,505,133
"S01006954",933,768,165
"S01006955",673,548,125
"S01006956",298,246,52
"S01006957",1158,976,182
"S01006958",568,393,175
"S01006959",484,337,147
"S01006960",63,52,11
"S01006962",680,492,188
"S01006963",435,330,105
"S01006964",495,387,108
"S01006965",374,268,106
"S01006966",444,347,97
"S01006967",546,442,104
"S01006968",345,264,81
"S01006969",692,530,162
"S01006970",476,360,116
"S01006971",292,209,83
"S01006972",406,321,85
"S01006973",617,455,162
"S01006974",596,477,119
"S01006975",740,600,140
"S01006976",501,395,106
"S01006977",2194,1811,383
"S01006978",656,487,169
"S01006979",530,395,135
"S01006980",736,565,171
"S01006981",621,500,121
"S01006982",640,526,114
"S01006983",560,441,119
"S01006984",646,526,120
"S01006985",755,573,182
"S01006986",468,379,89
"S01006987",482,350,132
"S01006988",442,360,82
"S01006989",643,504,139
"S01006990",642,537,105
"S01006991",307,212,95
"S01006992",487,365,122
"S01006993",414,317,97
"S01006994",471,359,112
"S01006995",987,793,194
"S01006996",330,263,67
"S01006997",575,477,98
"S01006998",911,718,193
"S01006999",659,517,142
"S01007000",610,467,143
"S01007001",668,483,185
"S01007002",534,393,141
"S01007003",391,310,81
"S01007004",550,414,136
"S01007005",682,536,146
"S01007006",675,480,195
"S01007007",632,472,160
"S01007008",616,444,172
"S01007009",766,545,221
"S01007010",535,379,156
"S01007011",599,444,155
"S01007012",504,337,167
"S01007013",868,608,260
"S01007014",851,675,176
"S01007015",478,363,115
"S01007016",465,364,101
"S01007017",597,444,153
"S01007018",690,496,194
"S01007019",500,351,149
"S01007020",488,364,124
"S01007021",548,392,156
"S01007022",85,49,36
"S01007023",557,384,173
"S01007024",766,538,228
"S01007025",443,295,148
"S01007026",558,352,206
"S01007027",702,480,222
"S01007028",749,538,211
"S01007029",542,373,169
"S01007030",535,375,160
"S01007031",418,286,132
"S01007032",807,550,257
"S01007033",548,380,168
"S01007034",356,258,98
"S01007035",578,387,191
"S01007036",527,338,189
"S01007037",675,481,194
"S01007038",722,523,199
"S01007039",537,374,163
"S01007040",466,323,143
"S01007041",295,218,77
"S01007042",286,203,83
"S01007043",1041,780,261
"S01007044",396,249,147
"S01007045",740,522,218
"S01007046",472,325,147
"S01007047",581,418,163
"S01007048",954,697,257
"S01007049",639,446,193
"S01007050",343,230,113
"S01007051",570,434,136
"S01007052",442,318,124
"S01007053",289,211,78
"S01007054",569,414,155
"S01007055",526,406,120
"S01007056",706,540,166
"S01007057",258,175,83
"S01007058",401,268,133
"S01007059",764,539,225
"S01007060",422,283,139
"S01007061",711,572,139
"S01007062",539,419,120
"S01007063",450,323,127
"S01007064",548,427,121
"S01007065",566,425,141
"S01007066",853,634,219
"S01007067",451,334,117
"S01007068",417,291,126
"S01007069",663,476,187
"S01007070",332,246,86
"S01007071",307,231,76
"S01007072",493,398,95
"S01007073",812,507,305
"S01007074",475,361,114
"S01007075",396,286,110
"S01007076",721,549,172
"S01007077",522,378,144
"S01007078",642,435,207
"S01007079",726,486,240
"S01007080",625,429,196
"S01007081",690,499,191
"S01007082",410,298,112
"S01007083",628,382,246
"S01007084",504,345,159
"S01007085",699,541,158
"S01007086",941,693,248
"S01007087",472,371,101
"S01007088",408,263,145
"S01007089",1277,972,305
"S01007090",414,345,69
"S01007092",449,308,141
"S01007093",749,549,200
"S01007094",679,493,186
"S01007095",544,372,172
"S01007096",602,474,128
"S01007097",372,289,83
"S01007098",320,211,109
"S01007099",649,503,146
"S01007100",561,403,158
"S01007101",452,307,145
"S01007102",712,509,203
"S01007103",399,289,110
"S01007104",887,598,289
"S01007105",317,211,106
"S01007106",445,283,162
"S01007107",375,277,98
"S01007108",1077,795,282
"S01007109",342,212,130
"S01007110",485,348,137
"S01007111",349,233,116
"S01007112",486,328,158
"S01007113",350,238,112
"S01007114",659,463,196
"S01007115",450,303,147
"S01007116",441,328,113
"S01007117",364,252,112
"S01007118",516,364,152
"S01007119",625,422,203
"S01007120",728,476,252
"S01007121",355,226,129
"S01007122",453,310,143
"S01007123",468,326,142
"S01007124",666,499,167
"S01007125",756,530,226
"S01007126",681,452,229
"S01007127",647,492,155
"S01007128",618,391,227
"S01007129",698,514,184
"S01007130",456,326,130
"S01007131",576,416,160
"S01007132",517,370,147
"S01007133",515,379,136
"S01007134",542,407,135
"S01007135",395,291,104
"S01007136",384,292,92
"S01007137",265,227,38
"S01007138",692,545,147
"S01007139",568,412,156
"S01007140",783,522,261
"S01007141",909,679,230
"S01007144",1458,1090,368
"S01007145",635,412,223
"S01007146",597,401,196
"S01007147",458,306,152
"S01007148",414,289,125
"S01007149",524,331,193
"S01007150",500,289,211
"S01007151",542,396,146
"S01007152",473,314,159
"S01007153",456,303,153
"S01007154",513,349,164
"S01007155",382,266,116
"S01007156",452,320,132
"S01007157",352,274,78
"S01007158",698,535,163
"S01007159",621,430,191
"S01007160",496,313,183
"S01007161",519,347,172
"S01007162",365,254,111
"S01007163",642,411,231
"S01007164",419,277,142
"S01007165",578,405,173
"S01007166",487,316,171
"S01007167",589,380,209
"S01007168",746,516,230
"S01007169",456,335,121
"S01007170",514,383,131
"S01007171",623,478,145
"S01007172",912,618,294
"S01007173",410,320,90
"S01007174",609,455,154
"S01007175",438,279,159
"S01007176",501,339,162
"S01007177",458,298,160
"S01007178",769,516,253
"S01007179",754,510,244
"S01007180",521,330,191
"S01007181",607,371,236
"S01007182",785,530,255
"S01007183",788,527,261
"S01007184",810,551,259
"S01007185",552,350,202
"S01007186",463,308,155
"S01007187",614,419,195
"S01007188",473,347,126
"S01007189",530,346,184
"S01007190",595,360,235
"S01007191",456,335,121
"S01007192",451,305,146
"S01007193",558,375,183
"S01007194",432,277,155
"S01007195",400,258,142
"S01007196",522,368,154
"S01007197",506,356,150
"S01007198",306,209,97
"S01007199",573,364,209
"S01007200",667,474,193
"S01007201",557,352,205
"S01007202",571,384,187
"S01007203",485,342,143
"S01007204",778,532,246
"S01007205",543,352,191
"S01007206",226,154,72
"S01007207",741,513,228
"S01007208",822,583,239
"S01007209",535,379,156
"S01007210",472,340,132
"S01007211",554,349,205
"S01007212",591,403,188
"S01007213",583,376,207
"S01007214",544,355,189
"S01007215",654,459,195
"S01007216",524,370,154
"S01007217",880,604,276
"S01007218",479,320,159
"S01007219",617,405,212
"S01007220",511,363,148
"S01007221",408,278,130
"S01007222",604,417,187
"S01007223",366,280,86
"S01007224",420,284,136
"S01007225",735,529,206
"S01007226",642,486,156
"S01007227",635,424,211
"S01007228",480,343,137
"S01007229",840,625,215
"S01007230",536,364,172
"S01007231",491,311,180
"S01007232",530,350,180
"S01007233",596,424,172
"S01007234",431,297,134
"S01007235",572,393,179
"S01007236",452,333,119
"S01007237",526,371,155
"S01007238",696,487,209
"S01007239",600,369,231
"S01007240",440,305,135
"S01007241",507,373,134
"S01007242",727,492,235
"S01007243",459,310,149
"S01007244",569,368,201
"S01007245",500,362,138
"S01007246",679,493,186
"S01007247",485,349,136
"S01007248",447,279,168
"S01007249",297,186,111
"S01007250",627,487,140
"S01007251",342,246,96
"S01007252",557,396,161
"S01007253",516,343,173
"S01007254",574,376,198
"S01007255",562,413,149
"S01007256",563,427,136
"S01007257",450,313,137
"S01007258",519,336,183
"S01007259",699,493,206
"S01007260",663,488,175
"S01007261",603,396,207
"S01007262",533,385,148
"S01007263",580,392,188
"S01007264",544,363,181
"S01007265",761,551,210
"S01007266",511,378,133
"S01007267",402,307,95
"S01007268",461,331,130
"S01007269",387,250,137
"S01007270",446,350,96
"S01007271",602,418,184
"S01007272",727,501,226
"S01007273",496,338,158
"S01007274",602,432,170
"S01007275",398,261,137
"S01007276",604,415,189
"S01007277",460,296,164
"S01007278",391,269,122
"S01007279",421,316,105
"S01007280",426,304,122
"S01007281",766,520,246
"S01007282",406,309,97
"S01007283",687,404,283
"S01007284",601,417,184
"S01007285",670,461,209
"S01007286",676,496,180
"S01007287",408,308,100
"S01007288",336,228,108
"S01007289",626,455,171
"S01007290",535,423,112
"S01007291",375,259,116
"S01007292",593,437,156
"S01007293",547,446,101
"S01007294",594,434,160
"S01007295",370,254,116
"S01007296",464,349,115
"S01007297",728,563,165
"S01007298",395,293,102
"S01007299",650,520,130
"S01007300",355,282,73
"S01007301",424,293,131
"S01007302",465,343,122
"S01007303",658,474,184
"S01007304",501,336,165
"S01007305",544,402,142
"S01007306",551,388,163
"S01007307",691,486,205
"S01007308",628,434,194
"S01007309",505,360,145
"S01007310",549,350,199
"S01007311",592,471,121
"S01007312",543,366,177
"S01007313",753,525,228
"S01007314",493,383,110
"S01007315",586,449,137
"S01007316",648,427,221
"S01007317",490,374,116
"S01007318",439,315,124
"S01007319",546,395,151
"S01007320",557,396,161
"S01007321",482,325,157
"S01007322",552,389,163
"S01007323",342,264,78
"S01007324",258,179,79
"S01007325",599,405,194
"S01007326",896,615,281
"S01007327",455,311,144
"S01007328",437,314,123
"S01007329",507,358,149
"S01007330",625,398,227
"S01007331",831,603,228
"S01007332",304,200,104
"S01007333",520,347,173
"S01007334",509,326,183
"S01007335",517,334,183
"S01007336",307,215,92
"S01007337",393,257,136
"S01007338",554,383,171
"S01007339",468,292,176
"S01007340",349,199,150
"S01007341",538,292,246
"S01007342",622,381,241
"S01007343",523,354,169
"S01007344",206,122,84
"S01007345",361,244,117
"S01007346",529,325,204
"S01007347",475,262,213
"S01007348",422,274,148
"S01007349",316,203,113
"S01007350",414,269,145
"S01007351",467,278,189
"S01007352",411,261,150
"S01007353",631,374,257
"S01007354",534,308,226
"S01007355",1568,998,570
"S01007356",552,318,234
"S01007357",573,384,189
"S01007358",712,531,181
"S01007359",71,36,35
"S01007360",424,234,190
"S01007361",733,473,260
"S01007362",526,346,180
"S01007363",497,282,215
"S01007364",633,403,230
"S01007365",257,176,81
"S01007366",328,173,155
"S01007367",420,270,150
"S01007368",219,143,76
"S01007369",494,325,169
"S01007370",588,431,157
"S01007371",508,368,140
"S01007372",501,327,174
"S01007373",473,278,195
"S01007374",408,285,123
"S01007375",354,221,133
"S01007376",631,415,216
"S01007377",507,354,153
"S01007378",1330,1179,151
"S01007379",338,234,104
"S01007380",425,314,111
"S01007381",256,160,96
"S01007382",494,335,159
"S01007383",571,366,205
"S01007384",557,417,140
"S01007385",611,382,229
"S01007386",599,366,233
"S01007387",600,375,225
"S01007388",530,366,164
"S01007389",454,354,100
"S01007390",291,215,76
"S01007391",510,340,170
"S01007392",279,174,105
"S01007393",541,308,233
"S01007394",429,260,169
"S01007395",554,386,168
"S01007396",614,408,206
"S01007397",698,452,246
"S01007398",611,413,198
"S01007399",366,228,138
"S01007400",522,360,162
"S01007401",514,371,143
"S01007402",458,318,140
"S01007403",534,433,101
"S01007404",413,285,128
"S01007405",505,371,134
"S01007406",458,306,152
"S01007407",516,353,163
"S01007408",443,311,132
"S01007409",472,345,127
"S01007410",502,299,203
"S01007411",639,410,229
"S01007412",348,230,118
"S01007413",704,563,141
"S01007414",512,409,103
"S01007415",634,413,221
"S01007416",411,245,166
"S01007418",281,197,84
"S01007419",602,399,203
"S01007420",3311,2220,1091
"S01007421",163,110,53
"S01007422",429,298,131
"S01007423",279,190,89
"S01007424",510,338,172
"S01007425",720,490,230
"S01007426",430,286,144
"S01007427",496,312,184
"S01007428",660,456,204
"S01007429",563,422,141
"S01007430",355,237,118
"S01007431",448,323,125
"S01007432",661,414,247
"S01007433",605,389,216
"S01007434",384,261,123
"S01007435",532,376,156
"S01007436",504,334,170
"S01007437",338,232,106
"S01007438",520,347,173
"S01007439",547,352,195
"S01007440",481,332,149
"S01007441",439,303,136
"S01007442",382,256,126
"S01007443",649,377,272
"S01007444",657,424,233
"S01007445",472,296,176
"S01007446",382,264,118
"S01007447",384,246,138
"S01007448",674,449,225
"S01007449",673,447,226
"S01007450",536,363,173
"S01007451",477,329,148
"S01007452",929,674,255
"S01007454",399,279,120
"S01007455",639,427,212
"S01007456",624,428,196
"S01007457",796,551,245
"S01007458",286,210,76
"S01007459",573,390,183
"S01007460",568,364,204
"S01007461",529,324,205
"S01007462",626,462,164
"S01007463",698,416,282
"S01007464",497,286,211
"S01007465",567,324,243
"S01007466",736,453,283
"S01007467",720,469,251
"S01007468",578,427,151
"S01007469",434,311,123
"S01007470",492,317,175
"S01007471",252,201,51
"S01007472",507,319,188
"S01007473",339,226,113
"S01007474",249,179,70
"S01007475",199,122,77
"S01007476",636,420,216
"S01007477",403,289,114
"S01007478",649,474,175
"S01007479",235,167,68
"S01007480",331,270,61
"S01007481",524,301,223
"S01007482",255,150,105
"S01007483",574,402,172
"S01007484",486,321,165
"S01007485",336,210,126
"S01007486",353,193,160
"S01007487",692,448,244
"S01007488",756,532,224
"S01007489",542,373,169
"S01007490",650,393,257
"S01007491",683,493,190
"S01007492",536,357,179
"S01007493",623,429,194
"S01007494",404,255,149
"S01007495",712,500,212
"S01007496",889,549,340
"S01007497",439,272,167
"S01007498",704,441,263
"S01007499",635,442,193
"S01007500",448,259,189
"S01007501",528,292,236
"S01007502",393,254,139
"S01007503",758,479,279
"S01007504",523,348,175
"S01007505",410,275,135
