"dz_2011","total","active","inactive"
"S01007506",369,234,135
"S01007507",669,431,238
"S01007508",545,348,197
"S01007509",479,310,169
"S01007510",723,411,312
"S01007511",612,346,266
"S01007512",330,205,125
"S01007513",691,452,239
"S01007514",399,274,125
"S01007515",422,260,162
"S01007516",424,299,125
"S01007517",246,136,110
"S01007518",611,390,221
"S01007519",407,250,157
"S01007520",706,428,278
"S01007521",437,268,169
"S01007522",583,386,197
"S01007523",404,272,132
"S01007524",721,490,231
"S01007525",375,249,126
"S01007526",521,309,212
"S01007527",582,394,188
"S01007528",544,392,152
"S01007529",476,284,192
"S01007530",392,270,122
"S01007531",518,338,180
"S01007532",438,300,138
"S01007533",708,474,234
"S01007534",557,361,196
"S01007535",498,318,180
"S01007536",675,480,195
"S01007537",612,401,211
"S01007538",827,594,233
"S01007539",454,289,165
"S01007540",604,384,220
"S01007541",589,392,197
"S01007542",573,418,155
"S01007543",811,561,250
"S01007544",852,513,339
"S01007545",798,540,258
"S01007546",416,297,119
"S01007547",425,314,111
"S01007548",326,218,108
"S01007549",442,272,170
"S01007550",650,380,270
"S01007551",688,452,236
"S01007552",735,461,274
"S01007553",607,346,261
"S01007554",334,158,176
"S01007555",379,257,122
"S01007556",345,226,119
"S01007557",810,512,298
"S01007558",339,201,138
"S01007559",699,505,194
"S01007560",483,326,157
"S01007561",375,234,141
"S01007562",702,465,237
"S01007563",565,373,192
"S01007564",580,401,179
"S01007565",840,558,282
"S01007566",565,370,195
"S01007567",578,436,142
"S01007568",508,353,155
"S01007569",930,653,277
"S01007570",607,427,180
"S01007571",413,299,114
"S01007572",1281,998,283
"S01007574",805,546,259
"S01007575",535,327,208
"S01007576",498,318,180
"S01007577",437,272,165
"S01007578",494,324,170
"S01007579",456,328,128
"S01007580",586,388,198
"S01007581",368,241,127
"S01007582",486,338,148
"S01007583",755,490,265
"S01007584",435,328,107
"S01007585",640,433,207
"S01007586",611,421,190
"S01007587",618,352,266
"S01007588",492,338,154
"S01007589",610,450,160
"S01007590",449,294,155
"S01007591",452,336,116
"S01007592",625,439,186
"S01007593",783,517,266
"S01007594",732,524,208
"S01007595",811,580,231
"S01007596",292,165,127
"S01007597",487,343,144
"S01007598",501,351,150
"S01007599",641,455,186
"S01007600",710,461,249
"S01007601",503,421,82
"S01007602",501,383,118
"S01007603",616,502,114
"S01007604",666,466,200
"S01007605",728,521,207
"S01007606",383,275,108
"S01007607",536,402,134
"S01007608",566,414,152
"S01007609",683,467,216
"S01007610",356,243,113
"S01007611",683,431,252
"S01007612",861,617,244
"S01007613",648,472,176
"S01007614",310,209,101
"S01007615",740,533,207
"S01007616",492,367,125
"S01007617",401,276,125
"S01007618",418,287,131
"S01007619",456,324,132
"S01007620",459,324,135
"S01007621",473,341,132
"S01007622",338,233,105
"S01007623",463,333,130
"S01007624",506,400,106
"S01007625",384,287,97
"S01007626",355,305,50
"S01007627",488,369,119
"S01007628",503,343,160
"S01007629",527,379,148
"S01007630",652,480,172
"S01007631",449,322,127
"S01007632",630,433,197
"S01007633",717,492,225
"S01007634",510,368,142
"S01007635",489,276,213
"S01007636",590,393,197
"S01007637",611,435,176
"S01007638",565,391,174
"S01007639",782,561,221
"S01007640",555,386,169
"S01007641",607,429,178
"S01007642",577,377,200
"S01007643",663,462,201
"S01007644",482,293,189
"S01007645",548,370,178
"S01007646",481,317,164
"S01007647",551,379,172
"S01007648",625,437,188
"S01007649",558,396,162
"S01007650",713,511,202
"S01007651",518,386,132
"S01007652",336,204,132
"S01007653",690,491,199
"S01007654",804,533,271
"S01007655",613,416,197
"S01007656",663,431,232
"S01007657",336,247,89
"S01007658",382,260,122
"S01007659",660,427,233
"S01007660",461,312,149
"S01007661",492,350,142
"S01007662",630,421,209
"S01007663",624,414,210
"S01007664",430,292,138
"S01007665",457,340,117
"S01007666",166,112,54
"S01007667",516,389,127
"S01007668",757,516,241
"S01007669",456,306,150
"S01007670",503,355,148
"S01007671",761,529,232
"S01007672",654,393,261
"S01007673",540,404,136
"S01007674",590,399,191
"S01007675",478,326,152
"S01007676",582,443,139
"S01007677",279,210,69
"S01007678",575,370,205
"S01007679",602,352,250
"S01007680",710,520,190
"S01007681",316,230,86
"S01007682",872,604,268
"S01007683",522,354,168
"S01007684",573,368,205
"S01007685",746,437,309
"S01007686",689,406,283
"S01007687",691,444,247
"S01007688",867,517,350
"S01007689",498,325,173
"S01007690",792,399,393
"S01007691",3042,1254,1788
"S01007692",546,316,230
"S01007693",922,387,535
"S01007694",959,501,458
"S01007695",757,458,299
"S01007696",693,340,353
"S01007697",767,459,308
"S01007698",949,615,334
"S01007699",672,427,245
"S01007700",777,555,222
"S01007701",376,210,166
"S01007702",957,507,450
"S01007703",624,405,219
"S01007704",765,436,329
"S01007705",822,425,397
"S01007706",580,323,257
"S01007707",1119,747,372
"S01007708",505,367,138
"S01007709",487,290,197
"S01007710",370,208,162
"S01007711",904,534,370
"S01007712",590,370,220
"S01007713",396,248,148
"S01007714",523,376,147
"S01007715",397,249,148
"S01007716",811,471,340
"S01007717",789,470,319
"S01007718",520,308,212
"S01007719",774,488,286
"S01007720",521,294,227
"S01007721",578,388,190
"S01007722",667,390,277
"S01007723",726,393,333
"S01007724",519,353,166
"S01007725",631,415,216
"S01007726",647,421,226
"S01007727",845,506,339
"S01007728",674,437,237
"S01007729",654,470,184
"S01007730",661,494,167
"S01007731",474,391,83
"S01007732",679,479,200
"S01007733",642,478,164
"S01007734",616,436,180
"S01007735",637,451,186
"S01007736",543,412,131
"S01007737",757,524,233
"S01007738",495,340,155
"S01007739",323,204,119
"S01007740",476,305,171
"S01007741",454,269,185
"S01007742",453,288,165
"S01007743",666,461,205
"S01007744",534,317,217
"S01007745",496,349,147
"S01007746",672,467,205
"S01007747",388,253,135
"S01007748",496,318,178
"S01007749",537,355,182
"S01007750",487,298,189
"S01007751",599,351,248
"S01007752",449,279,170
"S01007753",382,251,131
"S01007754",614,372,242
"S01007755",570,345,225
"S01007756",411,259,152
"S01007757",589,360,229
"S01007758",628,370,258
"S01007759",733,491,242
"S01007760",482,305,177
"S01007761",639,461,178
"S01007762",566,395,171
"S01007763",335,192,143
"S01007764",588,427,161
"S01007765",496,307,189
"S01007766",470,311,159
"S01007767",764,512,252
"S01007768",470,310,160
"S01007769",532,331,201
"S01007770",522,359,163
"S01007771",376,219,157
"S01007772",682,455,227
"S01007773",581,395,186
"S01007774",415,334,81
"S01007775",361,272,89
"S01007776",523,412,111
"S01007777",295,258,37
"S01007778",1252,1036,216
"S01007779",577,428,149
"S01007780",629,500,129
"S01007781",722,580,142
"S01007782",288,193,95
"S01007783",588,285,303
"S01007784",672,514,158
"S01007785",328,204,124
"S01007786",556,352,204
"S01007787",489,317,172
"S01007788",399,252,147
"S01007789",511,316,195
"S01007790",551,361,190
"S01007791",707,609,98
"S01007792",649,424,225
"S01007793",646,367,279
"S01007794",427,275,152
"S01007795",435,302,133
"S01007796",570,397,173
"S01007797",376,225,151
"S01007798",479,399,80
"S01007800",655,402,253
"S01007801",752,398,354
"S01007802",398,348,50
"S01007803",795,436,359
"S01007804",427,246,181
"S01007805",351,244,107
"S01007806",463,311,152
"S01007807",515,392,123
"S01007808",615,432,183
"S01007809",675,485,190
"S01007810",630,359,271
"S01007811",606,415,191
"S01007812",578,370,208
"S01007813",547,347,200
"S01007814",435,279,156
"S01007815",687,499,188
"S01007816",523,375,148
"S01007817",355,209,146
"S01007818",650,471,179
"S01007819",513,360,153
"S01007820",730,458,272
"S01007821",419,296,123
"S01007822",542,359,183
"S01007823",538,398,140
"S01007824",533,358,175
"S01007825",735,509,226
"S01007826",389,235,154
"S01007827",477,368,109
"S01007828",720,464,256
"S01007829",421,231,190
"S01007830",697,404,293
"S01007831",679,370,309
"S01007832",489,298,191
"S01007833",519,254,265
"S01007834",568,372,196
"S01007835",499,351,148
"S01007836",380,247,133
"S01007837",594,380,214
"S01007838",602,401,201
"S01007839",696,436,260
"S01007840",564,376,188
"S01007841",504,364,140
"S01007842",552,370,182
"S01007843",522,346,176
"S01007844",713,493,220
"S01007845",606,387,219
"S01007846",514,331,183
"S01007847",658,437,221
"S01007848",586,364,222
"S01007849",629,421,208
"S01007850",542,341,201
"S01007851",628,376,252
"S01007852",499,328,171
"S01007853",465,251,214
"S01007854",679,416,263
"S01007855",491,330,161
"S01007856",634,422,212
"S01007857",352,215,137
"S01007858",745,473,272
"S01007859",799,545,254
"S01007861",495,318,177
"S01007862",538,345,193
"S01007863",641,382,259
"S01007864",683,439,244
"S01007866",441,396,45
"S01007867",831,667,164
"S01007868",704,501,203
"S01007869",393,297,96
"S01007870",412,287,125
"S01007871",485,264,221
"S01007872",529,286,243
"S01007873",506,329,177
"S01007874",550,330,220
"S01007875",396,285,111
"S01007876",615,432,183
"S01007877",588,364,224
"S01007878",356,224,132
"S01007879",558,318,240
"S01007880",543,350,193
"S01007881",486,316,170
"S01007882",1034,775,259
"S01007883",554,397,157
"S01007884",483,329,154
"S01007885",567,345,222
"S01007886",677,430,247
"S01007887",463,326,137
"S01007888",794,513,281
"S01007889",390,243,147
"S01007890",421,278,143
"S01007891",485,328,157
"S01007892",311,210,101
"S01007893",1020,710,310
"S01007894",685,486,199
"S01007895",402,258,144
"S01007896",541,331,210
"S01007897",960,716,244
"S01007898",603,423,180
"S01007899",398,274,124
"S01007900",299,182,117
"S01007901",521,334,187
"S01007902",690,369,321
"S01007903",479,261,218
"S01007904",656,414,242
"S01007905",509,299,210
"S01007906",526,303,223
"S01007907",428,246,182
"S01007908",438,249,189
"S01007909",291,199,92
"S01007910",652,418,234
"S01007911",319,183,136
"S01007912",605,394,211
"S01007913",449,274,175
"S01007914",476,294,182
"S01007915",631,426,205
"S01007916",584,332,252
"S01007917",648,419,229
"S01007918",692,463,229
"S01007919",525,356,169
"S01007920",463,327,136
"S01007921",690,418,272
"S01007922",658,394,264
"S01007923",624,439,185
"S01007924",643,379,264
"S01007925",637,457,180
"S01007926",629,477,152
"S01007927",494,371,123
"S01007928",739,494,245
"S01007929",864,661,203
"S01007930",541,420,121
"S01007931",821,534,287
"S01007932",650,413,237
"S01007933",559,389,170
"S01007934",500,354,146
"S01007935",593,417,176
"S01007936",663,515,148
"S01007937",652,469,183
"S01007938",585,372,213
"S01007939",620,423,197
"S01007940",687,446,241
"S01007941",322,226,96
"S01007942",347,262,85
"S01007943",424,274,150
"S01007944",636,431,205
"S01007945",631,398,233
"S01007946",608,400,208
"S01007947",572,362,210
"S01007948",484,283,201
"S01007949",605,398,207
"S01007950",597,401,196
"S01007951",605,427,178
"S01007952",467,297,170
"S01007953",710,487,223
"S01007954",509,313,196
"S01007955",466,340,126
"S01007956",533,375,158
"S01007957",748,471,277
"S01007958",629,423,206
"S01007959",551,379,172
"S01007960",474,314,160
"S01007961",1480,779,701
"S01007962",418,283,135
"S01007963",668,369,299
"S01007964",569,357,212
"S01007965",414,273,141
"S01007966",661,400,261
"S01007967",444,296,148
"S01007968",614,418,196
"S01007969",465,311,154
"S01007970",625,450,175
"S01007971",659,449,210
"S01007972",600,447,153
"S01007973",678,485,193
"S01007974",651,394,257
"S01007975",429,299,130
"S01007976",536,354,182
"S01007977",518,392,126
"S01007978",456,348,108
"S01007979",639,469,170
"S01007980",528,370,158
"S01007981",426,266,160
"S01007982",400,260,140
"S01007983",556,333,223
"S01007984",542,344,198
"S01007985",698,427,271
"S01007986",510,328,182
"S01007987",493,358,135
"S01007988",632,372,260
"S01007989",428,287,141
"S01007990",769,591,178
"S01007991",694,584,110
"S01007992",484,396,88
"S01007993",561,418,143
"S01007994",449,377,72
"S01007995",474,365,109
"S01007996",359,240,119
"S01007997",422,286,136
"S01007998",399,274,125
"S01007999",611,436,175
"S01008000",627,415,212
"S01008001",613,372,241
"S01008002",504,315,189
"S01008003",447,316,131
"S01008004",84,49,35
"S01008006",531,301,230
"S01008007",327,221,106
"S01008008",439,294,145
"S01008009",568,363,205
"S01008010",722,485,237
"S01008011",477,309,168
"S01008012",646,460,186
"S01008013",470,338,132
"S01008014",487,349,138
"S01008015",585,393,192
"S01008016",587,393,194
"S01008017",638,424,214
"S01008018",392,262,130
"S01008019",537,386,151
"S01008020",475,367,108
"S01008021",523,345,178
"S01008022",550,389,161
"S01008023",340,267,73
"S01008024",666,584,82
"S01008025",565,404,161
"S01008026",642,439,203
"S01008027",433,289,144
"S01008028",439,332,107
"S01008029",2212,1736,476
"S01008030",565,371,194
"S01008031",662,446,216
"S01008032",691,472,219
"S01008033",1082,796,286
"S01008034",578,460,118
"S01008035",485,332,153
"S01008036",515,355,160
"S01008037",752,511,241
"S01008038",530,400,130
"S01008039",656,464,192
"S01008040",634,420,214
"S01008041",485,317,168
"S01008042",397,261,136
"S01008043",574,400,174
"S01008044",686,480,206
"S01008045",788,513,275
"S01008046",549,344,205
"S01008047",489,318,171
"S01008048",425,251,174
"S01008049",596,380,216
"S01008050",437,269,168
"S01008051",619,444,175
"S01008052",602,444,158
"S01008053",419,259,160
"S01008054",642,425,217
"S01008055",634,428,206
"S01008056",494,321,173
"S01008057",637,448,189
"S01008058",695,507,188
"S01008059",414,278,136
"S01008060",555,391,164
"S01008061",495,397,98
"S01008062",751,521,230
"S01008063",517,366,151
"S01008064",522,362,160
"S01008065",720,508,212
"S01008066",659,442,217
"S01008067",417,291,126
"S01008068",701,488,213
"S01008069",699,520,179
"S01008070",686,503,183
"S01008071",518,392,126
"S01008072",603,421,182
"S01008073",345,245,100
"S01008074",719,514,205
"S01008075",401,234,167
"S01008076",418,236,182
"S01008077",570,368,202
"S01008078",698,452,246
"S01008079",648,411,237
"S01008080",497,349,148
"S01008081",441,293,148
"S01008082",517,357,160
"S01008083",437,286,151
"S01008084",654,449,205
"S01008085",744,548,196
"S01008086",812,612,200
"S01008087",582,388,194
"S01008088",682,440,242
"S01008089",494,331,163
"S01008090",541,402,139
"S01008091",289,197,92
"S01008092",630,417,213
"S01008093",558,377,181
"S01008094",488,330,158
"S01008095",557,371,186
"S01008096",554,356,198
"S01008097",433,291,142
"S01008098",539,394,145
"S01008099",408,287,121
"S01008100",671,429,242
"S01008101",599,459,140
"S01008102",607,414,193
"S01008103",452,314,138
"S01008104",659,449,210
"S01008105",780,531,249
"S01008106",494,301,193
"S01008107",781,631,150
"S01008108",445,347,98
"S01008109",726,512,214
"S01008110",652,513,139
"S01008111",638,442,196
"S01008112",614,412,202
"S01008113",683,468,215
"S01008114",510,356,154
"S01008115",734,551,183
"S01008116",703,496,207
"S01008117",582,397,185
"S01008118",587,416,171
"S01008119",496,315,181
"S01008120",535,355,180
"S01008121",475,313,162
"S01008122",425,298,127
"S01008123",633,423,210
"S01008124",519,361,158
"S01008125",659,468,191
"S01008126",644,477,167
"S01008127",367,267,100
"S01008128",695,463,232
"S01008129",684,473,211
"S01008130",748,530,218
"S01008131",596,392,204
"S01008132",716,489,227
"S01008133",450,265,185
"S01008134",518,390,128
"S01008135",1013,741,272
"S01008136",600,416,184
"S01008137",634,392,242
"S01008138",613,389,224
"S01008139",728,478,250
"S01008140",344,233,111
"S01008141",804,566,238
"S01008142",475,355,120
"S01008143",674,448,226
"S01008144",626,437,189
"S01008145",600,432,168
"S01008146",376,235,141
"S01008147",621,436,185
"S01008148",620,445,175
"S01008149",528,373,155
"S01008150",686,447,239
"S01008151",509,353,156
"S01008152",755,491,264
"S01008153",467,348,119
"S01008154",635,405,230
"S01008155",537,377,160
"S01008156",704,482,222
"S01008157",564,413,151
"S01008158",615,496,119
"S01008159",713,445,268
"S01008160",663,445,218
"S01008161",765,617,148
"S01008162",756,544,212
"S01008163",544,367,177
"S01008164",1292,730,562
"S01008165",545,458,87
"S01008166",402,291,111
"S01008167",421,282,139
"S01008168",696,489,207
"S01008169",531,405,126
"S01008170",439,339,100
"S01008171",527,373,154
"S01008172",414,284,130
"S01008173",491,375,116
"S01008174",412,318,94
"S01008175",579,439,140
"S01008176",563,403,160
"S01008177",552,364,188
"S01008178",512,322,190
"S01008179",387,308,79
"S01008180",374,295,79
"S01008181",515,354,161
"S01008182",754,576,178
"S01008183",559,440,119
"S01008184",523,375,148
"S01008185",762,559,203
"S01008186",618,369,249
"S01008187",454,325,129
"S01008188",643,432,211
"S01008189",431,293,138
"S01008190",642,445,197
"S01008191",357,247,110
"S01008192",637,470,167
"S01008193",560,419,141
"S01008194",440,320,120
"S01008195",590,432,158
"S01008196",555,408,147
"S01008198",514,345,169
"S01008199",581,378,203
"S01008200",347,226,121
"S01008201",582,386,196
"S01008202",425,288,137
"S01008203",424,294,130
"S01008204",640,369,271
"S01008205",512,365,147
"S01008206",464,314,150
"S01008207",434,310,124
"S01008208",562,467,95
"S01008210",685,494,191
"S01008211",665,476,189
"S01008212",351,285,66
"S01008213",827,635,192
"S01008214",506,316,190
"S01008215",483,350,133
"S01008216",466,362,104
"S01008217",555,425,130
"S01008218",709,578,131
"S01008219",714,545,169
"S01008220",440,298,142
"S01008221",538,377,161
"S01008222",516,331,185
"S01008223",346,210,136
"S01008224",731,581,150
"S01008225",558,395,163
"S01008226",521,365,156
"S01008227",621,396,225
"S01008228",1793,1480,313
"S01008229",357,222,135
"S01008230",604,511,93
"S01008231",414,336,78
"S01008233",1161,992,169
"S01008234",227,146,81
"S01008235",597,418,179
"S01008236",627,452,175
"S01008237",647,462,185
"S01008238",551,381,170
"S01008239",570,422,148
"S01008240",594,373,221
"S01008241",501,315,186
"S01008242",645,410,235
"S01008243",753,535,218
"S01008244",304,192,112
"S01008245",715,521,194
"S01008246",714,539,175
"S01008247",612,451,161
"S01008248",600,403,197
"S01008249",739,504,235
"S01008250",773,552,221
"S01008251",518,391,127
"S01008252",706,503,203
"S01008253",550,378,172
"S01008254",630,421,209
"S01008255",504,363,141
"S01008256",603,430,173
"S01008257",401,269,132
"S01008258",552,417,135
"S01008259",558,415,143
"S01008260",726,503,223
"S01008261",659,474,185
"S01008262",467,346,121
"S01008263",557,396,161
"S01008264",375,263,112
"S01008265",453,288,165
"S01008266",423,262,161
"S01008267",656,451,205
"S01008268",595,378,217
"S01008269",507,294,213
"S01008270",516,315,201
"S01008271",507,353,154
"S01008272",737,498,239
"S01008273",593,384,209
"S01008274",516,343,173
"S01008275",392,270,122
"S01008276",402,287,115
"S01008277",371,277,94
"S01008278",612,411,201
"S01008279",522,355,167
"S01008280",646,477,169
"S01008281",547,414,133
"S01008282",848,640,208
"S01008283",117,82,35
"S01008284",1033,764,269
"S01008285",552,355,197
"S01008286",537,374,163
"S01008287",567,415,152
"S01008288",630,430,200
"S01008289",390,297,93
"S01008290",584,420,164
"S01008291",509,333,176
"S01008292",706,549,157
"S01008294",506,368,138
"S01008295",683,519,164
"S01008296",427,278,149
"S01008297",389,281,108
"S01008298",653,462,191
"S01008299",551,331,220
"S01008300",644,404,240
"S01008301",666,491,175
"S01008302",554,382,172
"S01008303",422,299,123
"S01008304",283,192,91
"S01008305",619,450,169
"S01008306",510,369,141
"S01008307",420,331,89
"S01008308",448,293,155
"S01008309",522,323,199
"S01008310",693,481,212
"S01008311",398,296,102
"S01008312",195,135,60
"S01008313",764,440,324
"S01008314",454,311,143
"S01008315",567,367,200
"S01008316",321,185,136
"S01008317",551,389,162
"S01008318",908,668,240
"S01008319",529,333,196
"S01008320",412,221,191
"S01008321",420,321,99
"S01008322",768,514,254
"S01008323",576,352,224
"S01008324",336,224,112
"S01008325",535,369,166
"S01008326",710,456,254
"S01008327",701,481,220
"S01008328",612,464,148
"S01008329",657,487,170
"S01008330",660,495,165
"S01008331",453,357,96
"S01008332",650,442,208
"S01008333",651,408,243
"S01008334",511,342,169
"S01008335",511,330,181
"S01008336",455,323,132
"S01008337",620,490,130
"S01008338",576,477,99
"S01008339",486,404,82
"S01008340",622,491,131
"S01008341",481,391,90
"S01008342",656,438,218
"S01008343",611,424,187
"S01008344",732,478,254
"S01008345",573,363,210
"S01008346",682,472,210
"S01008347",636,433,203
"S01008348",535,341,194
"S01008349",603,404,199
"S01008350",401,245,156
"S01008351",626,451,175
"S01008352",463,303,160
"S01008353",351,238,113
"S01008354",482,352,130
"S01008355",405,271,134
"S01008356",405,307,98
"S01008357",351,251,100
"S01008358",493,330,163
"S01008359",446,320,126
"S01008360",637,436,201
"S01008361",618,447,171
"S01008362",672,522,150
"S01008363",552,387,165
"S01008364",564,387,177
"S01008365",591,361,230
"S01008366",578,394,184
"S01008367",549,369,180
"S01008368",348,258,90
"S01008369",434,308,126
"S01008370",592,431,161
"S01008371",567,403,164
"S01008372",583,411,172
"S01008373",579,437,142
"S01008374",503,369,134
"S01008375",570,417,153
"S01008376",380,282,98
"S01008377",528,403,125
"S01008378",680,493,187
"S01008379",375,238,137
"S01008380",403,304,99
"S01008381",369,285,84
"S01008382",548,392,156
"S01008383",342,265,77
"S01008384",714,520,194
"S01008385",475,332,143
"S01008386",508,372,136
"S01008387",611,467,144
"S01008388",406,328,78
"S01008389",291,162,129
"S01008390",457,327,130
"S01008391",492,329,163
"S01008392",663,499,164
"S01008393",416,287,129
"S01008394",647,469,178
"S01008395",395,302,93
"S01008396",549,364,185
"S01008397",713,497,216
"S01008398",408,274,134
"S01008399",482,311,171
"S01008400",362,253,109
"S01008401",662,436,226
"S01008402",774,503,271
"S01008403",431,291,140
"S01008404",617,419,198
"S01008405",545,403,142
"S01008406",599,386,213
"S01008407",355,225,130
"S01008408",467,364,103
"S01008409",773,525,248
"S01008410",399,259,140
"S01008411",455,331,124
"S01008412",509,346,163
"S01008413",340,240,100
"S01008414",327,232,95
"S01008415",688,510,178
"S01008416",631,419,212
"S01008417",548,363,185
"S01008418",536,383,153
"S01008419",349,250,99
"S01008420",356,249,107
"S01008421",565,423,142
"S01008422",472,313,159
"S01008423",616,418,198
"S01008424",583,344,239
"S01008425",2209,856,1353
"S01008426",407,271,136
"S01008427",851,670,181
"S01008428",457,312,145
"S01008429",501,333,168
"S01008430",569,398,171
"S01008431",602,403,199
"S01008432",497,318,179
"S01008433",645,460,185
"S01008434",712,488,224
"S01008435",606,376,230
"S01008436",619,432,187
"S01008437",506,369,137
"S01008438",335,249,86
"S01008439",747,517,230
"S01008440",724,478,246
"S01008441",272,183,89
"S01008442",580,447,133
"S01008443",422,269,153
"S01008444",479,357,122
"S01008445",535,325,210
"S01008446",726,408,318
"S01008447",503,353,150
"S01008448",578,384,194
"S01008449",573,377,196
"S01008450",384,254,130
"S01008451",497,308,189
"S01008452",363,231,132
"S01008453",444,338,106
"S01008454",674,424,250
"S01008455",770,444,326
"S01008456",747,466,281
"S01008457",477,282,195
"S01008458",747,516,231
"S01008459",508,331,177
"S01008460",552,344,208
"S01008461",686,440,246
"S01008462",457,238,219
"S01008463",538,339,199
"S01008464",637,455,182
"S01008465",559,413,146
"S01008466",564,386,178
"S01008467",602,411,191
"S01008468",454,283,171
"S01008469",455,311,144
"S01008470",549,335,214
"S01008471",666,450,216
"S01008472",449,286,163
"S01008473",520,339,181
"S01008474",584,371,213
"S01008475",615,434,181
"S01008476",524,335,189
"S01008477",694,444,250
"S01008478",473,292,181
"S01008479",568,362,206
"S01008480",304,188,116
"S01008481",1351,518,833
"S01008482",446,280,166
"S01008483",463,299,164
"S01008484",556,387,169
"S01008485",753,538,215
"S01008486",656,412,244
"S01008487",642,522,120
"S01008488",611,409,202
"S01008489",494,339,155
"S01008490",734,583,151
"S01008491",777,536,241
"S01008492",806,619,187
"S01008493",608,419,189
"S01008494",558,412,146
"S01008495",841,650,191
"S01008496",910,718,192
"S01008497",738,617,121
