output_area,total,active,inactive
S00088956,152,118,34
S00088957,53,42,11
S00088958,59,42,17
S00088959,62,46,16
S00088960,54,40,14
S00088961,175,85,90
S00088962,54,43,11
S00088963,60,47,13
S00088964,72,60,12
S00088965,110,78,32
S00088966,92,58,34
S00088967,45,39,6
S00088968,46,31,15
S00088969,120,97,23
S00088970,91,68,23
S00088971,62,50,12
S00088972,119,100,19
S00088973,108,75,33
S00088974,100,68,32
S00088975,67,54,13
S00088976,66,56,10
S00088977,58,40,18
S00088978,54,39,15
S00088979,81,69,12
S00088980,63,52,11
S00088981,55,42,13
S00088982,61,48,13
S00088983,47,29,18
S00088984,48,28,20
S00088985,75,65,10
S00088986,130,100,30
S00088987,63,51,12
S00088988,63,47,16
S00088989,87,64,23
S00088990,103,83,20
S00088991,118,93,25
S00088992,504,218,286
S00088993,101,80,21
S00088994,52,37,15
S00088995,60,46,14
S00088996,83,44,39
S00088997,123,97,26
S00088998,98,81,17
S00088999,99,79,20
S00089000,117,105,12
S00089001,91,61,30
S00089002,97,74,23
S00089003,74,68,6
S00089004,77,66,11
S00089005,103,67,36
S00089006,79,60,19
S00089007,106,81,25
S00089008,72,69,3
S00089009,97,88,9
S00089010,109,96,13
S00089011,145,113,32
S00089012,101,82,19
S00089013,64,59,5
S00089014,110,93,17
S00089015,88,81,7
S00089016,85,69,16
S00089017,81,76,5
S00089018,115,96,19
S00089019,119,100,19
S00089020,73,60,13
S00089021,68,55,13
S00089022,84,63,21
S00089023,81,64,17
S00089024,64,57,7
S00089025,61,51,10
S00089026,66,60,6
S00089027,101,92,9
S00089028,77,73,4
S00089029,78,72,6
S00089030,64,59,5
S00089031,126,111,15
S00089032,71,63,8
S00089033,85,72,13
S00089034,52,37,15
S00089035,93,71,22
S00089036,61,50,11
S00089037,79,69,10
S00089038,56,54,2
S00089039,73,58,15
S00089040,69,56,13
S00089041,138,91,47
S00089042,50,34,16
S00089043,105,83,22
S00089044,58,43,15
S00089045,53,34,19
S00089046,231,74,157
S00089047,88,65,23
S00089048,71,48,23
S00089049,108,85,23
S00089050,76,51,25
S00089051,129,104,25
S00089052,126,104,22
S00089053,92,80,12
S00089054,68,62,6
S00089055,83,68,15
S00089056,69,66,3
S00089057,81,58,23
S00089058,92,73,19
S00089059,54,47,7
S00089060,52,46,6
S00089061,64,54,10
S00089062,46,32,14
S00089063,72,66,6
S00089064,76,65,11
S00089065,87,71,16
S00089066,57,47,10
S00089067,91,80,11
S00089068,64,57,7
S00089069,50,43,7
S00089070,112,91,21
S00089071,67,53,14
S00089072,99,87,12
S00089073,89,73,16
S00089074,118,99,19
S00089075,75,66,9
S00089076,92,69,23
S00089077,78,68,10
S00089078,33,22,11
S00089079,47,35,12
S00089080,68,44,24
S00089081,63,40,23
S00089082,56,33,23
S00089083,92,72,20
S00089084,68,46,22
S00089085,86,65,21
S00089086,80,55,25
S00089087,113,83,30
S00089088,71,45,26
S00089089,89,68,21
S00089090,95,63,32
S00089091,94,63,31
S00089092,102,73,29
S00089093,121,85,36
S00089094,65,37,28
S00089095,85,61,24
S00089096,68,52,16
S00089097,68,48,20
S00089098,59,42,17
S00089099,85,68,17
S00089100,63,44,19
S00089101,61,50,11
S00089102,59,46,13
S00089103,77,66,11
S00089104,63,54,9
S00089105,87,75,12
S00089106,79,63,16
S00089107,65,50,15
S00089108,71,59,12
S00089109,47,39,8
S00089110,99,69,30
S00089111,115,92,23
S00089112,118,88,30
S00089113,36,5,31
S00089114,79,52,27
S00089115,121,86,35
S00089116,130,106,24
S00089117,92,54,38
S00089118,119,87,32
S00089119,72,46,26
S00089120,63,46,17
S00089121,109,71,38
S00089122,45,26,19
S00089123,112,76,36
S00089124,73,44,29
S00089125,122,82,40
S00089126,82,56,26
S00089127,73,51,22
S00089128,74,56,18
S00089129,160,132,28
S00089130,70,56,14
S00089131,79,61,18
S00089132,73,61,12
S00089133,60,43,17
S00089134,100,70,30
S00089135,108,68,40
S00089136,89,61,28
S00089137,91,53,38
S00089138,12,4,8
S00089139,64,44,20
S00089140,77,61,16
S00089141,100,81,19
S00089142,115,83,32
S00089143,77,50,27
S00089144,76,52,24
S00089145,106,74,32
S00089146,82,64,18
S00089147,66,49,17
S00089148,85,53,32
S00089149,90,76,14
S00089150,103,67,36
S00089151,43,30,13
S00089152,48,28,20
S00089153,45,28,17
S00089154,56,42,14
S00089155,66,44,22
S00089156,100,49,51
S00089157,80,52,28
S00089158,98,76,22
S00089159,63,48,15
S00089160,79,58,21
S00089161,77,53,24
S00089162,56,43,13
S00089163,84,62,22
S00089164,53,39,14
S00089165,73,56,17
S00089166,98,77,21
S00089167,85,66,19
S00089168,13,1,12
S00089169,85,61,24
S00089170,58,44,14
S00089171,52,35,17
S00089172,45,32,13
S00089173,105,86,19
S00089174,117,77,40
S00089175,96,67,29
S00089176,83,67,16
S00089177,92,72,20
S00089178,101,75,26
S00089179,125,94,31
S00089180,111,84,27
S00089181,71,50,21
S00089182,90,73,17
S00089183,77,52,25
S00089184,96,73,23
S00089185,100,68,32
S00089186,85,71,14
S00089187,55,47,8
S00089188,117,85,32
S00089189,112,86,26
S00089190,97,79,18
S00089191,117,98,19
S00089192,96,85,11
S00089193,120,100,20
S00089194,103,67,36
S00089195,101,64,37
S00089196,89,63,26
S00089197,90,64,26
S00089198,66,53,13
S00089199,70,53,17
S00089200,48,35,13
S00089201,69,47,22
S00089202,118,95,23
S00089203,165,120,45
S00089204,101,84,17
S00089205,93,79,14
S00089206,86,61,25
S00089207,73,55,18
S00089208,69,61,8
S00089209,66,56,10
S00089210,73,60,13
S00089211,67,60,7
S00089212,99,77,22
S00089213,63,52,11
S00089214,60,52,8
S00089215,56,43,13
S00089216,93,73,20
S00089217,71,58,13
S00089218,117,93,24
S00089219,76,61,15
S00089220,59,48,11
S00089221,133,107,26
S00089222,80,75,5
S00089223,60,47,13
S00089224,120,91,29
S00089225,55,51,4
S00089226,52,48,4
S00089227,118,98,20
S00089228,70,63,7
S00089229,79,66,13
S00089230,85,64,21
S00089231,79,69,10
S00089232,73,62,11
S00089233,63,46,17
S00089234,74,57,17
S00089235,98,87,11
S00089236,77,66,11
S00089237,88,67,21
S00089238,109,71,38
S00089239,79,59,20
S00089240,133,101,32
S00089241,42,29,13
S00089242,94,74,20
S00089243,89,60,29
S00089244,80,60,20
S00089245,64,46,18
S00089246,70,44,26
S00089247,120,82,38
S00089248,167,127,40
S00089249,81,60,21
S00089250,66,57,9
S00089251,81,63,18
S00089252,83,59,24
S00089253,93,71,22
S00089254,99,69,30
S00089255,100,78,22
S00089256,82,65,17
S00089257,80,68,12
S00089258,85,62,23
S00089259,66,57,9
S00089260,100,87,13
S00089261,127,106,21
S00089262,91,70,21
S00089263,87,77,10
S00089264,119,102,17
S00089265,80,71,9
S00089266,85,78,7
S00089267,79,64,15
S00089268,100,86,14
S00089269,88,82,6
S00089270,109,95,14
S00089271,66,51,15
S00089272,54,41,13
S00089273,92,80,12
S00089274,115,98,17
S00089275,19,2,17
S00089276,56,44,12
S00089277,126,101,25
S00089278,20,2,18
S00089279,53,47,6
S00089280,44,34,10
S00089281,67,59,8
S00089282,45,40,5
S00089283,44,36,8
S00089284,85,58,27
S00089285,116,95,21
S00089286,99,82,17
S00089287,50,17,33
S00089288,124,62,62
S00089289,92,66,26
S00089290,50,39,11
S00089291,69,54,15
S00089292,69,49,20
S00089293,126,101,25
S00089294,123,100,23
S00089295,133,83,50
S00089296,125,78,47
S00089297,66,41,25
S00089298,81,53,28
S00089299,36,24,12
S00089300,76,53,23
S00089301,87,57,30
S00089302,83,61,22
S00089303,146,99,47
S00089304,121,81,40
S00089305,53,28,25
S00089306,93,49,44
S00089307,68,41,27
S00089308,51,35,16
S00089309,115,90,25
S00089310,133,84,49
S00089311,79,60,19
S00089312,120,94,26
S00089313,99,66,33
S00089314,111,95,16
S00089315,79,54,25
S00089316,75,56,19
S00089317,69,52,17
S00089318,71,59,12
S00089319,103,73,30
S00089320,89,75,14
S00089321,59,35,24
S00089322,84,63,21
S00089323,52,39,13
S00089324,53,36,17
S00089325,74,53,21
S00089326,87,59,28
S00089327,74,54,20
S00089328,76,44,32
S00089329,71,47,24
S00089330,107,70,37
S00089331,112,74,38
S00089332,129,100,29
S00089333,122,90,32
S00089334,107,74,33
S00089335,104,85,19
S00089336,66,52,14
S00089337,43,30,13
S00089338,102,79,23
S00089339,101,71,30
S00089340,72,48,24
S00089341,56,39,17
S00089342,15,7,8
S00089343,57,48,9
S00089344,49,34,15
S00089345,77,63,14
S00089346,112,83,29
S00089347,77,59,18
S00089348,80,52,28
S00089349,73,50,23
S00089350,92,66,26
S00089351,117,92,25
S00089352,118,68,50
S00089353,84,62,22
S00089354,52,42,10
S00089355,114,88,26
S00089356,53,40,13
S00089357,90,67,23
S00089358,65,44,21
S00089359,89,63,26
S00089360,88,61,27
S00089361,107,67,40
S00089362,46,27,19
S00089363,52,43,9
S00089364,90,65,25
S00089365,114,90,24
S00089366,94,74,20
S00089367,77,53,24
S00089368,53,43,10
S00089369,101,87,14
S00089370,76,53,23
S00089371,101,67,34
S00089372,47,36,11
S00089373,85,68,17
S00089374,48,36,12
S00089375,87,57,30
S00089376,87,54,33
S00089377,55,32,23
S00089378,72,51,21
S00089379,121,82,39
S00089380,111,90,21
S00089381,74,46,28
S00089382,80,48,32
S00089383,81,57,24
S00089384,79,60,19
S00089385,104,81,23
S00089386,150,88,62
S00089387,111,64,47
S00089388,116,85,31
S00089389,73,42,31
S00089390,62,43,19
S00089391,77,58,19
S00089392,53,37,16
S00089393,60,41,19
S00089394,35,21,14
S00089395,81,52,29
S00089396,61,33,28
S00089397,79,56,23
S00089398,72,47,25
S00089399,12,2,10
S00089400,74,55,19
S00089401,54,34,20
S00089402,64,39,25
S00089403,79,44,35
S00089404,71,51,20
S00089405,77,57,20
S00089406,109,78,31
S00089407,88,58,30
S00089408,80,57,23
S00089409,87,63,24
S00089410,91,71,20
S00089411,73,51,22
S00089412,122,77,45
S00089413,136,98,38
S00089414,43,32,11
S00089415,74,55,19
S00089416,106,89,17
S00089417,100,64,36
S00089418,95,56,39
S00089419,89,62,27
S00089420,110,80,30
S00089421,112,89,23
S00089422,65,46,19
S00089423,115,84,31
S00089424,102,79,23
S00089425,146,100,46
S00089426,124,99,25
S00089427,57,43,14
S00089428,57,45,12
S00089429,80,58,22
S00089430,78,51,27
S00089431,57,42,15
S00089432,44,30,14
S00089433,56,44,12
S00089434,58,41,17
S00089435,88,58,30
S00089436,86,58,28
S00089437,103,70,33
S00089438,107,69,38
S00089439,86,61,25
S00089440,38,26,12
S00089441,66,44,22
S00089442,90,67,23
S00089443,50,42,8
S00089444,129,99,30
S00089445,136,110,26
S00089446,104,68,36
S00089447,84,60,24
S00089448,95,68,27
S00089449,135,101,34
S00089450,75,53,22
S00089451,52,33,19
S00089452,79,44,35
S00089453,107,84,23
S00089454,68,44,24
S00089455,68,49,19
S00089456,109,74,35
S00089457,82,66,16
S00089458,71,62,9
S00089459,59,48,11
S00089460,37,7,30
S00089461,97,71,26
S00089462,86,65,21
S00089463,116,83,33
S00089464,128,90,38
S00089465,80,67,13
S00089466,62,45,17
S00089467,76,60,16
S00089468,60,47,13
S00089469,97,63,34
S00089470,70,58,12
S00089471,65,53,12
S00089472,65,48,17
S00089473,88,77,11
S00089474,126,90,36
S00089475,63,49,14
S00089476,55,46,9
S00089477,99,71,28
S00089478,93,59,34
S00089479,68,57,11
S00089480,65,45,20
S00089481,120,88,32
S00089482,70,54,16
S00089483,83,63,20
S00089484,93,56,37
S00089485,66,54,12
S00089486,71,34,37
S00089487,56,32,24
S00089488,106,69,37
S00089489,127,78,49
S00089490,236,142,94
S00089491,107,76,31
S00089492,65,45,20
S00089493,60,41,19
S00089494,63,32,31
S00089495,56,29,27
S00089496,60,36,24
S00089497,192,118,74
S00089498,101,73,28
S00089499,50,43,7
S00089500,70,41,29
S00089501,121,87,34
S00089502,108,71,37
S00089503,34,3,31
S00089504,35,9,26
S00089505,34,5,29
S00089506,75,56,19
S00089507,72,49,23
S00089508,89,72,17
S00089509,46,34,12
S00089510,101,74,27
S00089511,69,45,24
S00089512,53,40,13
S00089513,102,65,37
S00089514,69,40,29
S00089515,237,130,107
S00089516,90,67,23
S00089517,58,31,27
S00089518,113,62,51
S00089519,84,53,31
S00089520,74,46,28
S00089521,95,63,32
S00089522,91,75,16
S00089523,75,46,29
S00089524,77,54,23
S00089525,58,36,22
S00089526,58,28,30
S00089527,60,26,34
S00089528,78,49,29
S00089529,88,62,26
S00089530,55,45,10
S00089531,66,47,19
S00089532,90,70,20
S00089533,59,44,15
S00089534,95,75,20
S00089535,64,42,22
S00089536,90,57,33
S00089537,60,49,11
S00089538,63,37,26
S00089539,60,39,21
S00089540,72,58,14
S00089541,72,53,19
S00089542,112,110,2
S00089543,65,42,23
S00089544,80,67,13
S00089545,21,3,18
S00089546,81,64,17
S00089547,110,86,24
S00089548,142,114,28
S00089549,83,58,25
S00089550,76,56,20
S00089551,63,45,18
S00089552,69,59,10
S00089553,62,53,9
S00089554,55,41,14
S00089555,121,87,34
S00089556,66,53,13
S00089557,126,101,25
S00089558,96,76,20
S00089559,114,85,29
S00089560,60,44,16
S00089561,77,49,28
S00089562,74,54,20
S00089563,61,43,18
S00089564,77,59,18
S00089565,112,85,27
S00089566,116,84,32
S00089567,122,98,24
S00089568,138,100,38
S00089569,81,45,36
S00089570,86,64,22
S00089571,127,91,36
S00089572,58,37,21
S00089573,83,62,21
S00089574,74,54,20
S00089575,57,41,16
S00089576,97,70,27
S00089577,69,50,19
S00089578,79,56,23
S00089579,65,54,11
S00089580,82,62,20
S00089581,64,49,15
S00089582,91,69,22
S00089583,111,82,29
S00089584,52,27,25
S00089585,97,74,23
S00089586,88,75,13
S00089587,59,35,24
S00089588,79,52,27
S00089589,70,44,26
S00089590,92,68,24
S00089591,96,63,33
S00089592,71,53,18
S00089593,88,67,21
S00089594,58,47,11
S00089595,115,83,32
S00089596,89,72,17
S00089597,83,55,28
S00089598,49,37,12
S00089599,101,74,27
S00089600,42,27,15
S00089601,59,48,11
S00089602,97,72,25
S00089603,80,44,36
S00089604,68,48,20
S00089605,115,78,37
S00089606,96,64,32
S00089607,104,81,23
S00089608,48,25,23
S00089609,77,58,19
S00089610,103,69,34
S00089611,69,53,16
S00089612,76,55,21
S00089613,56,26,30
S00089614,135,98,37
S00089615,96,58,38
S00089616,93,76,17
S00089617,113,98,15
S00089618,91,72,19
S00089619,104,84,20
S00089620,113,82,31
S00089621,26,8,18
S00089622,69,41,28
S00089623,83,43,40
S00089624,67,39,28
S00089625,85,54,31
S00089626,146,83,63
S00089627,68,50,18
S00089628,108,76,32
S00089629,123,77,46
S00089630,65,44,21
S00089631,86,59,27
S00089632,86,74,12
S00089633,385,150,235
S00089634,92,57,35
S00089635,60,43,17
S00089636,104,62,42
S00089637,57,42,15
S00089638,95,57,38
S00089639,89,73,16
S00089640,115,90,25
S00089641,55,36,19
S00089642,59,38,21
S00089643,109,88,21
S00089644,131,97,34
S00089645,114,80,34
S00089646,108,63,45
S00089647,136,87,49
S00089648,60,42,18
S00089649,93,53,40
S00089650,117,58,59
S00089651,368,144,224
S00089652,134,84,50
S00089653,106,85,21
S00089654,95,46,49
S00089655,75,39,36
S00089656,79,56,23
S00089657,59,44,15
S00089658,120,91,29
S00089659,214,113,101
S00089660,112,73,39
S00089661,121,83,38
S00089662,88,57,31
S00089663,114,78,36
S00089664,61,40,21
S00089665,95,76,19
S00089666,87,68,19
S00089667,58,46,12
S00089668,73,49,24
S00089669,129,98,31
S00089670,70,31,39
S00089671,306,157,149
S00089672,104,61,43
S00089673,66,28,38
S00089674,130,107,23
S00089675,128,101,27
S00089676,65,53,12
S00089677,114,90,24
S00089678,60,50,10
S00089679,123,89,34
S00089680,113,76,37
S00089681,136,88,48
S00089682,58,42,16
S00089683,74,56,18
S00089684,68,60,8
S00089685,109,80,29
S00089686,57,36,21
S00089687,71,50,21
S00089688,82,62,20
S00089689,51,36,15
S00089690,128,79,49
S00089691,100,68,32
S00089692,48,28,20
S00089693,55,36,19
S00089694,101,75,26
S00089695,97,76,21
S00089696,123,100,23
S00089697,66,51,15
S00089698,90,62,28
S00089699,65,45,20
S00089700,97,72,25
S00089701,68,55,13
S00089702,66,54,12
S00089703,105,78,27
S00089704,86,62,24
S00089705,90,72,18
S00089706,94,72,22
S00089707,82,39,43
S00089708,44,33,11
S00089709,67,46,21
S00089710,97,61,36
S00089711,97,67,30
S00089712,86,58,28
S00089713,80,55,25
S00089714,118,87,31
S00089715,69,54,15
S00089716,39,26,13
S00089717,85,55,30
S00089718,118,93,25
S00089719,132,96,36
S00089720,124,100,24
S00089721,123,96,27
S00089722,77,58,19
S00089723,45,30,15
S00089724,63,46,17
S00089725,72,57,15
S00089726,83,67,16
S00089727,81,60,21
S00089728,73,54,19
S00089729,116,87,29
S00089730,76,69,7
S00089731,88,59,29
S00089732,112,81,31
S00089733,76,53,23
S00089734,66,48,18
S00089735,72,59,13
S00089736,72,59,13
S00089737,75,62,13
S00089738,54,46,8
S00089739,72,50,22
S00089740,97,79,18
S00089741,74,45,29
S00089742,108,77,31
S00089743,109,75,34
S00089744,64,45,19
S00089745,94,73,21
S00089746,83,62,21
S00089747,72,50,22
S00089748,93,80,13
S00089749,51,38,13
S00089750,92,80,12
S00089751,85,55,30
S00089752,94,65,29
S00089753,95,75,20
S00089754,90,75,15
S00089755,49,35,14
S00089756,66,51,15
S00089757,100,76,24
S00089758,72,50,22
S00089759,130,90,40
S00089760,76,67,9
S00089761,42,33,9
S00089762,102,87,15
S00089763,94,78,16
S00089764,89,74,15
S00089765,101,80,21
S00089766,94,68,26
S00089767,61,50,11
S00089768,58,51,7
S00089769,51,47,4
S00089770,92,74,18
S00089771,91,75,16
S00089772,91,83,8
S00089773,101,91,10
S00089774,77,61,16
S00089775,66,62,4
S00089776,87,73,14
S00089777,87,79,8
S00089778,113,86,27
S00089779,85,59,26
S00089780,70,57,13
S00089781,86,75,11
S00089782,68,64,4
S00089783,28,4,24
S00089784,52,45,7
S00089785,109,73,36
S00089786,73,50,23
S00089787,73,54,19
S00089788,59,49,10
S00089789,107,74,33
S00089790,270,142,128
S00089791,57,41,16
S00089792,72,47,25
S00089793,69,54,15
S00089794,59,50,9
S00089795,128,79,49
S00089796,106,86,20
S00089797,89,74,15
S00089798,92,77,15
S00089799,114,87,27
S00089800,93,66,27
S00089801,61,19,42
S00089802,131,84,47
S00089803,61,49,12
S00089804,101,74,27
S00089805,50,37,13
S00089806,81,63,18
S00089807,61,47,14
S00089808,68,57,11
S00089809,69,48,21
S00089810,45,29,16
S00089811,62,45,17
S00089812,74,50,24
S00089813,136,98,38
S00089814,29,16,13
S00089815,78,49,29
S00089816,98,65,33
S00089817,95,64,31
S00089818,70,54,16
S00089819,127,100,27
S00089820,94,69,25
S00089821,89,65,24
S00089822,80,59,21
S00089823,72,50,22
S00089824,126,91,35
S00089825,115,83,32
S00089826,85,77,8
S00089827,92,69,23
S00089828,24,7,17
S00089829,75,54,21
S00089830,88,67,21
S00089831,90,65,25
S00089832,65,44,21
S00089833,100,84,16
S00089834,66,54,12
S00089835,68,45,23
S00089836,133,85,48
S00089837,115,84,31
S00089838,101,73,28
S00089839,69,45,24
S00089840,58,42,16
S00089841,94,70,24
S00089842,62,48,14
S00089843,103,75,28
S00089844,90,64,26
S00089845,104,70,34
S00089846,61,42,19
S00089847,62,45,17
S00089848,88,75,13
S00089849,111,90,21
S00089850,106,60,46
S00089851,56,39,17
S00089852,34,14,20
S00089853,97,66,31
S00089854,39,1,38
S00089855,96,64,32
S00089856,108,76,32
S00089857,83,62,21
S00089858,65,46,19
S00089859,85,63,22
S00089860,88,73,15
S00089861,66,50,16
S00089862,100,61,39
S00089863,116,76,40
S00089864,127,100,27
S00089865,107,82,25
S00089866,58,34,24
S00089867,88,71,17
S00089868,46,24,22
S00089869,127,101,26
S00089870,89,66,23
S00089871,72,44,28
S00089872,110,84,26
S00089873,131,96,35
S00089874,113,88,25
S00089875,93,61,32
S00089876,85,70,15
S00089877,78,53,25
S00089878,70,44,26
S00089879,106,89,17
S00089880,117,74,43
S00089881,134,104,30
S00089882,92,61,31
S00089883,65,37,28
S00089884,80,53,27
S00089885,96,65,31
S00089886,62,31,31
S00089887,77,55,22
S00089888,61,45,16
S00089889,48,29,19
S00089890,100,75,25
S00089891,199,74,125
S00089892,113,91,22
S00089893,102,71,31
S00089894,139,106,33
S00089895,71,51,20
S00089896,66,49,17
S00089897,80,51,29
S00089898,98,79,19
S00089899,98,76,22
S00089900,72,51,21
S00089901,71,52,19
S00089902,128,89,39
S00089903,106,72,34
S00089904,79,60,19
S00089905,75,59,16
S00089906,66,53,13
S00089907,70,48,22
S00089908,68,38,30
S00089909,44,34,10
S00089910,88,67,21
S00089911,115,86,29
S00089912,84,67,17
S00089913,60,45,15
S00089914,68,50,18
S00089915,50,26,24
S00089916,80,48,32
S00089917,86,67,19
S00089918,80,74,6
S00089919,66,50,16
S00089920,89,58,31
S00089921,69,45,24
S00089922,63,50,13
S00089923,68,48,20
S00089924,67,54,13
S00089925,74,52,22
S00089926,81,65,16
S00089927,75,58,17
S00089928,95,67,28
S00089929,88,68,20
S00089930,59,45,14
S00089931,71,55,16
S00089932,89,70,19
S00089933,55,41,14
S00089934,68,53,15
S00089935,83,64,19
S00089936,54,33,21
S00089937,54,39,15
S00089938,84,54,30
S00089939,94,68,26
S00089940,72,49,23
S00089941,77,59,18
S00089942,49,32,17
S00089943,66,46,20
S00089944,11,2,9
S00089945,146,117,29
S00089946,92,66,26
S00089947,74,52,22
S00089948,111,99,12
S00089949,78,58,20
S00089950,80,62,18
S00089951,76,56,20
S00089952,98,69,29
S00089953,44,23,21
S00089954,91,56,35
S00089955,141,121,20
S00089956,20,3,17
S00089957,88,60,28
S00089958,81,69,12
S00089959,79,51,28
S00089960,72,58,14
S00089961,68,44,24
S00089962,56,36,20
S00089963,62,35,27
S00089964,40,10,30
S00089965,118,85,33
S00089966,129,90,39
S00089967,82,59,23
S00089968,67,44,23
S00089969,62,42,20
S00089970,76,60,16
S00089971,110,81,29
S00089972,70,48,22
S00089973,80,55,25
S00089974,64,51,13
S00089975,93,69,24
S00089976,79,60,19
S00089977,84,70,14
S00089978,87,57,30
S00089979,79,63,16
S00089980,75,50,25
S00089981,22,4,18
S00089982,68,39,29
S00089983,57,39,18
S00089984,70,59,11
S00089985,83,67,16
S00089986,64,47,17
S00089987,58,40,18
S00089988,82,62,20
S00089989,79,63,16
S00089990,67,40,27
S00089991,83,70,13
S00089992,97,82,15
S00089993,75,45,30
S00089994,80,55,25
S00089995,63,41,22
S00089996,41,29,12
S00089997,96,61,35
S00089998,129,89,40
S00089999,80,63,17
S00090000,80,47,33
S00090001,54,31,23
S00090002,120,80,40
S00090003,100,72,28
S00090004,60,41,19
S00090005,44,31,13
S00090006,76,25,51
S00090007,151,107,44
S00090008,69,37,32
S00090009,76,51,25
S00090010,79,57,22
S00090011,80,66,14
S00090012,101,72,29
S00090013,86,64,22
S00090014,107,83,24
S00090015,78,62,16
S00090016,75,58,17
S00090017,87,67,20
S00090018,102,74,28
S00090019,41,31,10
S00090020,39,25,14
S00090021,104,78,26
S00090022,81,65,16
S00090023,56,36,20
S00090024,97,66,31
S00090025,118,82,36
S00090026,57,38,19
S00090027,104,73,31
S00090028,94,71,23
S00090029,80,58,22
S00090030,68,48,20
S00090031,116,81,35
S00090032,88,65,23
S00090033,105,74,31
S00090034,101,79,22
S00090035,81,58,23
S00090036,93,59,34
S00090037,99,71,28
S00090038,74,56,18
S00090039,101,70,31
S00090040,124,84,40
S00090041,46,34,12
S00090042,81,59,22
S00090043,101,76,25
S00090044,114,81,33
S00090045,136,102,34
S00090046,28,11,17
S00090047,77,58,19
S00090048,84,64,20
S00090049,115,78,37
S00090050,85,61,24
S00090051,100,65,35
S00090052,85,59,26
S00090053,88,66,22
S00090054,124,84,40
S00090055,100,63,37
S00090056,69,54,15
S00090057,84,62,22
S00090058,35,10,25
S00090059,114,74,40
S00090060,93,73,20
S00090061,84,66,18
S00090062,59,37,22
S00090063,72,54,18
S00090064,120,95,25
S00090065,43,28,15
S00090066,52,42,10
S00090067,78,61,17
S00090068,92,76,16
S00090069,120,89,31
S00090070,181,118,63
S00090071,111,95,16
S00090072,112,101,11
S00090073,112,92,20
S00090074,106,88,18
S00090075,117,89,28
S00090076,130,99,31
S00090077,94,82,12
S00090078,125,91,34
S00090079,108,86,22
S00090080,87,75,12
S00090081,97,73,24
S00090082,69,51,18
S00090083,86,56,30
S00090084,122,93,29
S00090085,110,80,30
S00090086,111,85,26
S00090087,87,55,32
S00090088,79,55,24
S00090089,79,60,19
S00090090,49,41,8
S00090091,138,113,25
S00090092,46,31,15
S00090093,27,13,14
S00090094,109,79,30
S00090095,116,96,20
S00090096,79,64,15
S00090097,62,49,13
S00090098,56,44,12
S00090099,148,92,56
S00090100,114,86,28
S00090101,113,74,39
S00090102,92,72,20
S00090103,125,93,32
S00090104,99,80,19
S00090105,72,52,20
S00090106,132,104,28
S00090107,113,86,27
S00090108,113,95,18
S00090109,96,74,22
S00090110,111,86,25
S00090111,65,46,19
S00090112,144,100,44
S00090113,80,48,32
S00090114,105,82,23
S00090115,80,55,25
S00090116,120,100,20
S00090117,107,82,25
S00090118,120,91,29
S00090119,178,147,31
S00090120,118,91,27
S00090121,196,157,39
S00090122,102,83,19
S00090123,80,77,3
S00090124,50,30,20
S00090125,37,15,22
S00090126,90,69,21
S00090127,113,77,36
S00090128,87,74,13
S00090129,103,70,33
S00090130,92,63,29
S00090131,120,98,22
S00090132,118,91,27
S00090133,152,134,18
S00090134,119,98,21
S00090135,116,96,20
S00090136,115,107,8
S00090137,101,95,6
S00090138,88,74,14
S00090139,107,91,16
S00090140,86,75,11
S00090141,66,55,11
S00090142,83,54,29
S00090143,61,49,12
